word1,word2,pos,sv_score,relation,cf_score,include
think,presume,V,3.49,HYPER/HYPONYMS,0.228384046,1
say,speak,V,9.3,NONE,0.291551308,1
tend,help,V,7.47,HYPER/HYPONYMS,0.902050772,1
see,meet,V,5.31,SYNONYMS,0.711810297,1
preview,look,V,7.3,NONE,0.742880733,1
forget,decay,V,0.83,NONE,0.968624312,1
kick,punch,V,1.66,COHYPONYMS,0.609150434,1
claim,take,V,5.15,SYNONYMS,0.93144062,1
sell,borrow,V,0.66,NONE,1.107374157,1
confuse,understand,V,0.5,NONE,0.875213821,1
want,crave,V,7.64,HYPER/HYPONYMS,0.528058799,1
veer,look,V,1.16,NONE,0.893437443,1
persuade,discourage,V,1.66,NONE,1.014284349,1
arrive,depart,V,1,ANTONYMS,0.961613341,1
skip,miss,V,7.14,HYPER/HYPONYMS,0.836322922,1
talk,describe,V,5.15,NONE,0.788010248,1
take,acquire,V,6.31,HYPER/HYPONYMS,0.707034634,1
perform,entertain,V,7.14,NONE,0.851506272,1
wipe,wash,V,4.81,NONE,0.518473726,1
pray,hope,V,6.97,NONE,0.77754732,1
decline,lower,V,3.32,NONE,0.235451194,1
determine,understand,V,6.31,NONE,0.776639496,1
sting,prick,V,6.31,SYNONYMS,0.824604281,1
search,seek,V,9.63,SYNONYMS,0.353648077,1
disprove,dislike,V,8.3,NONE,0.859136715,1
pull,detach,V,4.32,NONE,0.720817942,1
disbelieve,believe,V,0.33,ANTONYMS,1.036222125,1
lean,fall,V,2.16,HYPER/HYPONYMS,0.873949144,1
get,grab,V,6.31,HYPER/HYPONYMS,0.578428236,1
control,hold,V,5.15,HYPER/HYPONYMS,0.860390868,1
alter,change,V,9.63,SYNONYMS,0.080852226,1
kidnap,take,V,5.98,HYPER/HYPONYMS,0.891056592,1
disturb,interrupt,V,8.63,SYNONYMS,0.251993243,1
seem,appear,V,7.64,SYNONYMS,0.279627651,1
repeat,do,V,2.99,NONE,0.956583443,1
compose,create,V,8.13,HYPER/HYPONYMS,0.750904984,1
justify,prove,V,6.31,NONE,0.692919394,1
separate,combine,V,0.5,ANTONYMS,0.830509586,1
disintegrate,melt,V,5.15,NONE,0.671513949,1
have,hold,V,4.81,SYNONYMS,0.640795016,1
kill,live,V,0.33,NONE,0.950931321,1
descend,lower,V,7.64,NONE,0.827054622,1
disprove,agree,V,0.33,NONE,0.968124027,1
run,hurry,V,5.98,HYPER/HYPONYMS,0.828604497,1
reap,gain,V,6.97,HYPER/HYPONYMS,0.570178872,1
rub,hold,V,1.49,NONE,1.007726991,1
finish,start,V,0.5,ANTONYMS,0.995109971,1
pull,tow,V,7.3,HYPER/HYPONYMS,0.604506236,1
swap,give,V,3.17,NONE,0.961319074,1
annoy,aggravate,V,8.13,NONE,0.628035703,1
deteriorate,disappear,V,3.92,NONE,0.796750536,1
hike,trail,V,5.48,NONE,0.787897123,1
compute,add,V,6.14,HYPER/HYPONYMS,0.985957522,1
pull,strain,V,3.65,NONE,0.850756278,1
assault,hit,V,8.13,NONE,0.4477315,1
inhale,breathe,V,7.97,HYPER/HYPONYMS,0.182975732,1
sneak,lie,V,5.48,NONE,0.894923306,1
brush,paint,V,6.97,COHYPONYMS,0.76609209,1
want,get,V,2.16,NONE,0.624467686,1
create,imagine,V,4.81,HYPER/HYPONYMS,0.746619382,1
travel,move,V,6.47,SYNONYMS,0.549415196,1
desire,need,V,5.13,NONE,0.682547879,1
rationalize,think,V,7.47,HYPER/HYPONYMS,0.844347752,1
hide,deny,V,4.48,NONE,0.695566624,1
increase,raise,V,8.13,HYPER/HYPONYMS,0.130491151,1
talk,criticize,V,2.66,NONE,0.784249284,1
determine,discover,V,5.64,NONE,0.533304885,1
think,realize,V,5.15,NONE,0.685014698,1
boom,crash,V,6.31,COHYPONYMS,0.86558332,1
replace,fix,V,2.11,NONE,0.893533727,1
fall,dive,V,4.15,HYPER/HYPONYMS,0.680110176,1
hold,reserve,V,6.31,HYPER/HYPONYMS,0.731355317,1
implode,explode,V,3.15,ANTONYMS,1.052788921,1
sprain,strain,V,5.98,NONE,0.796608594,1
respond,speak,V,7.3,NONE,0.716048165,1
regret,forget,V,0.83,NONE,0.855755781,1
travel,go,V,7.97,SYNONYMS,0.579442306,1
flee,fight,V,0.91,NONE,0.851727999,1
soak,bleach,V,2.99,NONE,0.723013299,1
accept,allow,V,6.94,HYPER/HYPONYMS,0.530507863,1
add,reduce,V,0.33,NONE,0.969704085,1
save,deposit,V,5.48,NONE,0.855123259,1
jump,dive,V,5.15,HYPER/HYPONYMS,0.674382284,1
hurt,prick,V,4.32,HYPER/HYPONYMS,0.976930107,1
hide,repress,V,6.64,NONE,0.828492798,1
bring,carry,V,4.98,HYPER/HYPONYMS,0.273528803,1
get,ask,V,2.49,COHYPONYMS,0.815910843,1
spin,turn,V,6.97,HYPER/HYPONYMS,0.373787392,1
overflow,fill,V,3.98,NONE,0.894329381,1
offend,bother,V,6.14,NONE,0.668810221,1
break,replace,V,0.5,HYPER/HYPONYMS,0.959275384,1
run,hide,V,1,NONE,0.972251751,1
start,begin,V,8.8,SYNONYMS,0.058663716,1
spoil,perish,V,4.81,NONE,0.714688719,1
weave,drive,V,0.91,COHYPONYMS,1.007142624,1
prepare,cook,V,6.14,SYNONYMS,0.864031349,1
pretend,imitate,V,4.65,NONE,0.437568305,1
lose,forget,V,4.07,HYPER/HYPONYMS,0.721014013,1
hunt,kill,V,6.81,NONE,0.789672931,1
let,allow,V,8.8,SYNONYMS,0.226961715,1
look,appear,V,4.98,SYNONYMS,0.609072194,1
tug,jerk,V,7.14,NONE,0.924781173,1
dive,swim,V,4.32,HYPER/HYPONYMS,0.609959,1
dance,sway,V,3.82,NONE,0.890184185,1
whisper,yell,V,0.83,NONE,1.037309852,1
salute,acknowledge,V,4.65,NONE,0.569893896,1
become,make,V,4.15,HYPER/HYPONYMS,0.596717468,1
scare,surprise,V,5.31,NONE,0.744289997,1
sway,move,V,6.81,HYPER/HYPONYMS,0.728756311,1
go,send,V,1.49,NONE,0.915328881,1
float,drift,V,7.3,SYNONYMS,0.690997111,1
move,shift,V,7.55,HYPER/HYPONYMS,0.209237842,1
reprimand,correct,V,6.31,HYPER/HYPONYMS,0.880303543,1
leave,evacuate,V,7.47,NONE,0.690502125,1
clench,hold,V,6.64,NONE,0.920465611,1
concentrate,wander,V,0.5,NONE,0.910988813,1
suppose,guess,V,7.14,SYNONYMS,0.107227025,1
split,leave,V,2.99,NONE,0.887298778,1
get,put,V,1.33,NONE,0.623444124,1
receive,send,V,2.32,NONE,0.737534973,1
begin,introduce,V,4.32,HYPER/HYPONYMS,0.668929334,1
call,yell,V,7.64,SYNONYMS,0.769392069,1
cook,mix,V,3.49,COHYPONYMS,0.896831053,1
ridicule,tease,V,8.47,COHYPONYMS,0.797922344,1
associate,connect,V,6.97,SYNONYMS,0.745359508,1
entertain,enjoy,V,2.32,NONE,0.716809008,1
reply,respond,V,9.79,SYNONYMS,0.262709453,1
attack,beat,V,7.8,NONE,0.679287025,1
evict,throw,V,3.15,NONE,0.776855243,1
crackle,pop,V,3.15,NONE,0.900355884,1
sew,rip,V,0.83,NONE,0.830920903,1
call,respond,V,5.15,NONE,0.78065252,1
lose,find,V,0,ANTONYMS,1.055169565,1
reject,accept,V,0.83,ANTONYMS,1.021764735,1
run,evacuate,V,4.15,NONE,0.973386728,1
hurry,rush,V,9.79,HYPER/HYPONYMS,0.057523106,1
defend,prosecute,V,0.33,ANTONYMS,1.028050474,1
convince,lie,V,1.49,NONE,0.922500995,1
lower,degrade,V,7.8,NONE,0.791991781,1
enjoy,relax,V,5.81,NONE,0.832963631,1
disintegrate,dissolve,V,8.13,COHYPONYMS,0.48089714,1
introduce,show,V,6.14,NONE,0.669317947,1
want,yearn,V,7.64,HYPER/HYPONYMS,0.369334967,1
remark,talk,V,5.81,NONE,0.696875531,1
float,drown,V,0.66,NONE,1.010423592,1
sit,lie,V,3.32,ANTONYMS,1.033938076,1
die,drown,V,4.81,HYPER/HYPONYMS,0.69468922,1
combine,integrate,V,8.47,HYPER/HYPONYMS,0.434356319,1
appear,see,V,3.65,NONE,0.699155142,1
smear,wipe,V,6.31,COHYPONYMS,0.694769753,1
insult,offend,V,8.13,HYPER/HYPONYMS,0.172386045,1
aggravate,irritate,V,8.3,HYPER/HYPONYMS,0.628411426,1
flow,pour,V,5.31,HYPER/HYPONYMS,0.893176118,1
play,swing,V,3.15,HYPER/HYPONYMS,0.81708592,1
demand,need,V,2.82,SYNONYMS,0.300214852,1
drip,sink,V,1.99,COHYPONYMS,0.826918193,1
confess,lie,V,1.83,NONE,0.87363018,1
remember,retain,V,8.63,HYPER/HYPONYMS,0.894432881,1
sink,float,V,0.33,ANTONYMS,1.131890226,1
remind,think,V,3.32,NONE,0.702611685,1
tell,instruct,V,6.97,HYPER/HYPONYMS,0.74518526,1
take,replace,V,1.16,NONE,0.924251075,1
destroy,demolish,V,9.13,HYPER/HYPONYMS,0.036265052,1
fade,bleach,V,4.48,NONE,0.827933452,1
run,escape,V,4.65,HYPER/HYPONYMS,0.714068301,1
abuse,neglect,V,6.64,NONE,0.630024614,1
take,choose,V,3.82,SYNONYMS,0.51309788,1
fly,launch,V,4.32,NONE,0.895048809,1
remember,recall,V,9.13,SYNONYMS,0.173099027,1
tell,talk,V,8.3,HYPER/HYPONYMS,0.285803392,1
boil,fry,V,3.32,NONE,0.678805717,1
vacate,leave,V,8.63,HYPER/HYPONYMS,0.285671886,1
keep,hold,V,6.14,SYNONYMS,0.431799042,1
testify,confess,V,4.81,NONE,0.689983948,1
delay,wait,V,5.48,HYPER/HYPONYMS,0.656190505,1
yawn,stretch,V,2.32,NONE,0.849001949,1
make,compose,V,7.3,HYPER/HYPONYMS,0.665399694,1
make,do,V,4.15,SYNONYMS,0.406596064,1
drink,vomit,V,0.15,NONE,0.803461879,1
grill,burn,V,2.99,NONE,0.908017955,1
grab,hold,V,7.97,NONE,0.739512664,1
smoke,cough,V,2.66,NONE,0.825242789,1
reappear,vanish,V,1.49,NONE,0.53876642,1
think,pause,V,4.48,NONE,0.954781917,1
help,participate,V,6.14,NONE,0.660069511,1
fight,kill,V,4.15,NONE,0.856611858,1
rise,lift,V,7.47,SYNONYMS,0.654806634,1
swap,change,V,7.97,HYPER/HYPONYMS,0.623311081,1
crawl,climb,V,2.32,NONE,0.830509608,1
see,hear,V,1.99,SYNONYMS,0.440376158,1
win,fight,V,2.49,NONE,0.748234531,1
leap,fall,V,1.66,NONE,0.804866719,1
strike,blow,V,7.3,COHYPONYMS,0.410891938,1
beat,hurt,V,5.64,NONE,0.819908751,1
go,flee,V,6.14,NONE,0.631132405,1
blend,mix,V,8.3,SYNONYMS,0.050807732,1
meet,attend,V,3.82,NONE,0.741174797,1
fall,rise,V,0.33,ANTONYMS,1.009141797,1
help,assist,V,8,SYNONYMS,0.0985527,1
climb,fall,V,1.49,ANTONYMS,0.952155484,1
burn,melt,V,5.81,NONE,0.737040036,1
borrow,beg,V,2.66,NONE,0.897910103,1
give,beg,V,0.66,NONE,0.86305947,1
let,release,V,4.65,NONE,0.800176959,1
increase,add,V,7.97,HYPER/HYPONYMS,0.696546455,1
unload,carry,V,1.49,NONE,0.929740531,1
talk,debate,V,5.81,HYPER/HYPONYMS,0.246322512,1
describe,write,V,3.65,HYPER/HYPONYMS,0.817338305,1
hear,tell,V,0.83,NONE,0.612715409,1
doze,nap,V,8.8,HYPER/HYPONYMS,0.605906459,1
stab,shoot,V,1.83,NONE,0.654236626,1
grasp,understand,V,8.47,HYPER/HYPONYMS,0.416759163,1
destroy,repair,V,0.83,NONE,1.014291501,1
accept,deny,V,1,ANTONYMS,1.040630505,1
combine,join,V,7.47,NONE,0.387596258,1
join,gather,V,5.15,NONE,0.767606305,1
deny,reject,V,8.3,HYPER/HYPONYMS,0.113003507,1
bend,turn,V,3.32,HYPER/HYPONYMS,0.680143701,1
evict,move,V,2.66,HYPER/HYPONYMS,0.76167968,1
tell,testify,V,4.98,HYPER/HYPONYMS,0.577953758,1
define,mean,V,5.15,NONE,0.726157346,1
triumph,defeat,V,4.65,NONE,1.009555889,1
stop,whistle,V,0.33,NONE,0.812659911,1
die,crash,V,2.82,HYPER/HYPONYMS,0.756628214,1
realize,discover,V,7.14,NONE,0.703642439,1
guess,try,V,2.32,NONE,0.824324741,1
rub,grate,V,5.15,HYPER/HYPONYMS,0.901419303,1
drag,pull,V,7.3,HYPER/HYPONYMS,0.664621084,1
spell,speak,V,2.16,NONE,0.801197321,1
remove,evict,V,6.14,NONE,0.359814332,1
win,award,V,3.98,NONE,0.762599373,1
hide,bury,V,5.31,HYPER/HYPONYMS,0.337959572,1
gain,get,V,8.63,HYPER/HYPONYMS,0.319510418,1
forgive,regret,V,1.16,NONE,0.577252317,1
hide,find,V,1.66,NONE,0.824446948,1
relax,stretch,V,3.65,NONE,0.884131199,1
see,squint,V,3.15,NONE,0.645116025,1
flee,escape,V,9.79,HYPER/HYPONYMS,0.050727605,1
jerk,prick,V,0.5,NONE,0.194004717,1
wear,erode,V,3.32,NONE,0.85108303,1
waste,throw,V,2.66,NONE,0.733875677,1
bury,forget,V,3.98,SYNONYMS,0.811144663,1
frustrate,annoy,V,8.3,HYPER/HYPONYMS,0.527367545,1
learn,teach,V,2.82,SYNONYMS,0.257139361,1
come,bring,V,1.83,NONE,0.762940402,1
wait,stay,V,6.47,NONE,0.777992903,1
burst,laugh,V,2.16,NONE,0.873221421,1
look,inspect,V,8.96,NONE,0.628354361,1
portray,play,V,5.81,HYPER/HYPONYMS,0.899414828,1
lose,defeat,V,2.32,NONE,0.806366168,1
steal,rob,V,9.46,HYPER/HYPONYMS,0.204873845,1
transplant,remove,V,3.49,NONE,0.887678862,1
speak,listen,V,0.66,NONE,0.628816714,1
think,compute,V,5.81,HYPER/HYPONYMS,0.878437241,1
punish,deny,V,2.99,NONE,0.792708722,1
solve,compute,V,5.15,HYPER/HYPONYMS,0.808476807,1
organize,prepare,V,7.3,SYNONYMS,0.865772267,1
overflow,spill,V,7.14,HYPER/HYPONYMS,0.312672954,1
disperse,spread,V,9.3,HYPER/HYPONYMS,0.394132302,1
ask,suggest,V,4.32,NONE,0.7765325,1
walk,talk,V,1.33,NONE,0.954044254,1
toast,burn,V,5.64,NONE,0.692525215,1
haunt,scare,V,6.19,NONE,0.589627548,1
drink,gulp,V,6.47,HYPER/HYPONYMS,0.621485172,1
protect,help,V,5.15,NONE,0.783963265,1
admit,give,V,2.32,ANTONYMS,0.683592012,1
stay,come,V,1,NONE,0.860320032,1
win,finish,V,4.48,NONE,0.818270675,1
condemn,hate,V,5.64,NONE,0.755741448,1
lean,sway,V,6.14,NONE,0.955445249,1
kill,annihilate,V,8.13,HYPER/HYPONYMS,0.654401083,1
want,hope,V,5.15,HYPER/HYPONYMS,0.391624258,1
slide,show,V,0.66,NONE,0.912706543,1
scream,squeal,V,7.97,NONE,0.593974816,1
join,integrate,V,7.8,NONE,0.633567975,1
permit,deny,V,0.5,ANTONYMS,0.993270119,1
choke,swallow,V,0.5,NONE,0.74666065,1
smell,perspire,V,1.49,NONE,0.755710963,1
keep,snatch,V,1.83,NONE,1.044276185,1
engage,go,V,6.14,NONE,0.82557371,1
sprinkle,pour,V,2.66,COHYPONYMS,0.767245205,1
save,restore,V,2.82,NONE,0.743781099,1
do,perform,V,7.47,SYNONYMS,0.537306003,1
develop,create,V,8.3,HYPER/HYPONYMS,0.435600473,1
supply,give,V,6.97,HYPER/HYPONYMS,0.610206867,1
get,have,V,7.64,HYPER/HYPONYMS,0.326933214,1
look,observe,V,9.3,NONE,0.627449842,1
earn,gain,V,6.31,SYNONYMS,0.140199776,1
dunk,drown,V,5.64,NONE,0.702899629,1
seize,control,V,4.48,NONE,0.864451943,1
ponder,reflect,V,7.55,SYNONYMS,0.698707088,1
rap,speak,V,3.49,HYPER/HYPONYMS,0.879107331,1
change,replace,V,6.81,HYPER/HYPONYMS,0.662481356,1
prohibit,stop,V,7.14,NONE,0.738486532,1
build,destroy,V,0.5,NONE,0.815183463,1
choose,elect,V,8.47,HYPER/HYPONYMS,0.064945797,1
survive,struggle,V,3.32,NONE,0.847779652,1
crash,wreck,V,6.64,NONE,0.521459782,1
release,go,V,3.82,NONE,0.944961244,1
decrease,lower,V,9.13,HYPER/HYPONYMS,0.168720163,1
leave,escape,V,5.64,HYPER/HYPONYMS,0.660999051,1
regret,worry,V,5.31,NONE,0.662948229,1
hold,hug,V,7.64,HYPER/HYPONYMS,0.933681283,1
push,urge,V,6.64,HYPER/HYPONYMS,0.709113489,1
run,charge,V,5.15,NONE,0.929571382,1
drift,move,V,5.31,HYPER/HYPONYMS,0.750750243,1
mow,plow,V,4.32,NONE,0.596665654,1
rinse,wash,V,7.64,SYNONYMS,0.122169203,1
make,develop,V,6.14,HYPER/HYPONYMS,0.527272527,1
visit,travel,V,6.31,HYPER/HYPONYMS,0.361651835,1
receive,give,V,0.66,NONE,0.755446633,1
print,press,V,5.31,NONE,0.797632279,1
dismiss,go,V,2.99,HYPER/HYPONYMS,0.888162776,1
express,tell,V,5.98,HYPER/HYPONYMS,0.515515962,1
break,connect,V,0.33,NONE,0.996513923,1
veer,move,V,3.98,HYPER/HYPONYMS,0.865329164,1
fade,perish,V,6.47,NONE,0.6589603,1
glance,stare,V,2.49,COHYPONYMS,0.444149444,1
hate,respect,V,0.17,NONE,0.98309851,1
doubt,disbelieve,V,8.8,HYPER/HYPONYMS,0.885668175,1
persuade,ask,V,4.15,NONE,0.779358761,1
beat,mistreat,V,5.64,NONE,0.817121467,1
lie,deceive,V,9.3,COHYPONYMS,0.701141211,1
scribble,draw,V,8.13,HYPER/HYPONYMS,0.87988312,1
grab,release,V,0.33,NONE,0.906473351,1
comfort,relax,V,5.15,NONE,0.438406994,1
sweat,shiver,V,1.16,NONE,0.735535972,1
exist,die,V,1.16,NONE,0.996678237,1
strive,try,V,7.47,HYPER/HYPONYMS,0.161759077,1
perceive,understand,V,8.3,HYPER/HYPONYMS,0.64092189,1
squeeze,crush,V,7.3,SYNONYMS,0.673210912,1
solve,find,V,6.14,NONE,0.792301449,1
show,dance,V,2.82,NONE,0.86842993,1
entertain,sing,V,5.98,NONE,0.770065588,1
stretch,pull,V,6.47,HYPER/HYPONYMS,0.789821599,1
adjourn,finish,V,7.97,HYPER/HYPONYMS,0.757416,1
think,determine,V,3.82,NONE,0.795531997,1
soothe,console,V,8.3,SYNONYMS,1.015502432,1
disturb,awake,V,5.43,NONE,0.798508296,1
finish,diminish,V,3.15,NONE,0.968918953,1
talk,pray,V,2.49,NONE,0.814804172,1
stop,hamper,V,4.98,NONE,0.678572884,1
leap,hop,V,6.31,HYPER/HYPONYMS,0.122132537,1
tear,demolish,V,4.98,NONE,0.656709513,1
blow,pop,V,2.49,COHYPONYMS,0.905316189,1
accept,refuse,V,1.83,ANTONYMS,1.049042337,1
return,recall,V,4.81,SYNONYMS,0.846472122,1
teach,educate,V,9.63,HYPER/HYPONYMS,0.23412924,1
believe,accept,V,5.64,HYPER/HYPONYMS,0.637525361,1
attack,kill,V,4.23,NONE,0.776778927,1
save,reserve,V,6.97,HYPER/HYPONYMS,0.743926275,1
inspect,find,V,5.31,NONE,0.717444001,1
demolish,wreck,V,9.3,NONE,0.327557409,1
tell,suggest,V,3.65,HYPER/HYPONYMS,0.647521415,1
gamble,win,V,2.66,NONE,0.846621946,1
reflect,see,V,4.15,NONE,0.683153061,1
split,crack,V,7.97,NONE,0.610125954,1
gain,learn,V,3.98,NONE,0.482298369,1
understand,comprehend,V,9.79,HYPER/HYPONYMS,0.047399127,1
console,help,V,4.81,NONE,0.955963761,1
pay,buy,V,5.48,HYPER/HYPONYMS,0.66700152,1
deliver,take,V,2.49,NONE,0.652506706,1
comprehend,perceive,V,5.43,SYNONYMS,0.636287273,1
sneak,slither,V,4.81,NONE,0.672546097,1
restore,repair,V,8.47,SYNONYMS,0.630009804,1
buy,purchase,V,9.46,SYNONYMS,0.107261291,1
make,reproduce,V,5.81,HYPER/HYPONYMS,0.847070067,1
punish,forbid,V,2.32,NONE,0.670320545,1
watch,examine,V,7.24,HYPER/HYPONYMS,0.72648089,1
perspire,sweat,V,9.63,SYNONYMS,0.419190851,1
judge,condemn,V,6.47,NONE,0.758586567,1
move,stay,V,0.5,ANTONYMS,1.045447731,1
nag,complain,V,8.13,HYPER/HYPONYMS,0.730097204,1
listen,learn,V,1.33,NONE,0.596431577,1
retreat,hide,V,5.81,NONE,0.861695936,1
remove,add,V,0.17,ANTONYMS,0.917543561,1
assume,presume,V,5.81,SYNONYMS,0.165600588,1
acknowledge,admit,V,6.81,SYNONYMS,0.142939727,1
reject,dislike,V,6.97,NONE,0.718255553,1
obey,command,V,2.16,NONE,0.791600014,1
win,play,V,1.16,NONE,0.884992804,1
stain,smudge,V,4.81,NONE,0.024038778,1
remember,realize,V,5.64,NONE,0.809957366,1
assault,attack,V,8.63,SYNONYMS,0.183480008,1
tumble,fall,V,8.3,HYPER/HYPONYMS,0.048727992,1
drink,lounge,V,1.33,NONE,0.921693336,1
abuse,hurt,V,6.97,NONE,0.690167888,1
fight,tackle,V,3.82,NONE,0.343710287,1
disturb,upset,V,5.98,SYNONYMS,0.318515924,1
