word1,word2,pos,sv_score,relation,cf_score
tear,break,V,6.14,COHYPONYMS,0.7604143974960798
jump,skip,V,5.48,SYNONYMS,0.23456233885139433
agree,admit,V,3.98,NONE,0.46228725365438517
give,bring,V,4.98,COHYPONYMS,0.3980265641877804
go,move,V,6.31,SYNONYMS,0.3626906895508374
kill,shoot,V,5.31,HYPER/HYPONYMS,0.27106370954381487
crunch,chew,V,6.47,HYPER/HYPONYMS,0.8608229566735579
carry,tow,V,4.98,NONE,0.777971357691875
sing,hum,V,5.98,COHYPONYMS,0.8150373791348164
dismay,upset,V,6.64,NONE,0.5918527080076641
shun,ignore,V,8.63,NONE,0.9453580110112069
believe,know,V,3.65,NONE,0.4858105468157202
hurt,smash,V,4.65,HYPER/HYPONYMS,0.6968599440858732
prefer,hate,V,1.0,NONE,0.7876967703844976
cook,bake,V,7.8,HYPER/HYPONYMS,0.23581956033665952
reprimand,yell,V,4.48,NONE,0.8908326357676555
break,destroy,V,8.3,HYPER/HYPONYMS,0.7780733902192257
hit,slap,V,7.97,NONE,0.4340461242234219
wrap,tie,V,5.31,NONE,0.7814042151825557
upset,frustrate,V,7.64,NONE,0.5803237419905726
show,preview,V,5.64,NONE,0.7454269778954521
accuse,tell,V,2.49,NONE,0.7603153743012722
hate,disown,V,4.48,NONE,0.764813936921764
pounce,bounce,V,2.99,NONE,0.0987296580041237
respect,like,V,5.48,COHYPONYMS,0.7509530239003765
sell,purchase,V,2.16,ANTONYMS,0.938847327561457
put,take,V,1.49,HYPER/HYPONYMS,0.6098314008493829
charge,cover,V,1.66,NONE,0.8886502108436816
melt,freeze,V,0.17,ANTONYMS,0.7704726541067285
agree,differ,V,1.16,ANTONYMS,1.0506745118217
flap,fold,V,2.16,NONE,0.8005259191334403
die,survive,V,0.15,NONE,0.8255536887042303
pull,lift,V,2.82,COHYPONYMS,0.5996053788188711
hitch,ride,V,4.48,HYPER/HYPONYMS,0.8718259502356559
live,let,V,1.99,NONE,0.9611472359220555
sow,plow,V,2.32,NONE,0.8169953012002877
destroy,kill,V,7.8,HYPER/HYPONYMS,0.7539413062102175
obtain,get,V,9.3,HYPER/HYPONYMS,0.15435906899431462
buy,sell,V,0.0,ANTONYMS,1.1293154983046572
deposit,put,V,6.47,HYPER/HYPONYMS,0.7569812249105136
rise,wake,V,8.3,NONE,0.7211855838961414
pray,kneel,V,1.83,NONE,0.6163322208795705
jump,climb,V,1.99,HYPER/HYPONYMS,0.3291557606085723
rescue,survive,V,1.16,NONE,0.769847780192684
succeed,overcome,V,6.97,NONE,0.7150005476310828
look,examine,V,8.3,HYPER/HYPONYMS,0.5679684833540439
delay,pause,V,8.13,HYPER/HYPONYMS,0.7381930866134688
take,use,V,3.15,HYPER/HYPONYMS,0.7500039742593885
color,decorate,V,4.48,COHYPONYMS,0.7710273808520917
get,achieve,V,6.31,NONE,0.30288800929900284
drink,intoxicate,V,4.23,NONE,0.706759380083827
die,deteriorate,V,2.49,NONE,0.9919807055584892
treat,buy,V,4.98,NONE,0.8827363452153564
dump,waste,V,5.98,COHYPONYMS,0.5951084962061957
learn,evaluate,V,3.65,NONE,0.8805850225803458
know,meet,V,2.82,NONE,0.7061234229885504
compete,finish,V,4.98,NONE,0.8831180024248294
sing,rap,V,5.58,NONE,0.8479306142810754
beat,kill,V,3.65,HYPER/HYPONYMS,0.8251919261993333
thaw,melt,V,8.47,SYNONYMS,0.1715769258405252
kidnap,capture,V,7.8,NONE,0.6489868415557871
gulp,slurp,V,4.98,NONE,0.28705097867138163
walk,jog,V,4.32,NONE,0.695152210853861
think,presume,V,3.49,HYPER/HYPONYMS,0.22838404580869798
say,speak,V,9.3,NONE,0.29155130764432224
tend,help,V,7.47,HYPER/HYPONYMS,0.9020507722742868
see,meet,V,5.31,SYNONYMS,0.7118102967916236
preview,look,V,7.3,NONE,0.7428807332843732
forget,decay,V,0.83,NONE,0.9686243119699398
kick,punch,V,1.66,COHYPONYMS,0.6091504338464402
claim,take,V,5.15,SYNONYMS,0.9314406199210057
sell,borrow,V,0.66,NONE,1.1073741574783935
confuse,understand,V,0.5,NONE,0.8752138213780046
want,crave,V,7.64,HYPER/HYPONYMS,0.5280587992781645
veer,look,V,1.16,NONE,0.8934374431150347
persuade,discourage,V,1.66,NONE,1.014284348637463
arrive,depart,V,1.0,ANTONYMS,0.961613341090789
skip,miss,V,7.14,HYPER/HYPONYMS,0.83632292223967
talk,describe,V,5.15,NONE,0.7880102476544714
take,acquire,V,6.31,HYPER/HYPONYMS,0.7070346335213757
perform,entertain,V,7.14,NONE,0.8515062719101089
wipe,wash,V,4.81,NONE,0.518473725889676
pray,hope,V,6.97,NONE,0.7775473195671543
decline,lower,V,3.32,NONE,0.2354511937005117
determine,understand,V,6.31,NONE,0.7766394962509722
sting,prick,V,6.31,SYNONYMS,0.8246042813393037
search,seek,V,9.63,SYNONYMS,0.35364807673425347
disprove,dislike,V,8.3,NONE,0.859136714555807
pull,detach,V,4.32,NONE,0.7208179422300087
disbelieve,believe,V,0.33,ANTONYMS,1.0362221252734773
lean,fall,V,2.16,HYPER/HYPONYMS,0.8739491443753414
get,grab,V,6.31,HYPER/HYPONYMS,0.5784282362246191
control,hold,V,5.15,HYPER/HYPONYMS,0.8603908679100339
alter,change,V,9.63,SYNONYMS,0.08085222562222505
kidnap,take,V,5.98,HYPER/HYPONYMS,0.891056592391936
disturb,interrupt,V,8.63,SYNONYMS,0.2519932425348812
seem,appear,V,7.64,SYNONYMS,0.279627651015541
repeat,do,V,2.99,NONE,0.9565834426982455
compose,create,V,8.13,HYPER/HYPONYMS,0.7509049838751234
justify,prove,V,6.31,NONE,0.6929193940920442
separate,combine,V,0.5,ANTONYMS,0.830509586251663
disintegrate,melt,V,5.15,NONE,0.6715139488254357
have,hold,V,4.81,SYNONYMS,0.6407950158743505
kill,live,V,0.33,NONE,0.9509313214949353
descend,lower,V,7.64,NONE,0.8270546219249866
disprove,agree,V,0.33,NONE,0.9681240265695757
run,hurry,V,5.98,HYPER/HYPONYMS,0.8286044969618223
reap,gain,V,6.97,HYPER/HYPONYMS,0.5701788718665761
rub,hold,V,1.49,NONE,1.0077269905768702
finish,start,V,0.5,ANTONYMS,0.9951099710226006
pull,tow,V,7.3,HYPER/HYPONYMS,0.6045062357369473
swap,give,V,3.17,NONE,0.9613190737755215
annoy,aggravate,V,8.13,NONE,0.6280357028136916
deteriorate,disappear,V,3.92,NONE,0.7967505358324996
hike,trail,V,5.48,NONE,0.7878971233041234
compute,add,V,6.14,HYPER/HYPONYMS,0.9859575219494443
pull,strain,V,3.65,NONE,0.850756278199026
assault,hit,V,8.13,NONE,0.44773149997290906
inhale,breathe,V,7.97,HYPER/HYPONYMS,0.18297573223261265
sneak,lie,V,5.48,NONE,0.8949233057429331
brush,paint,V,6.97,COHYPONYMS,0.7660920902856109
want,get,V,2.16,NONE,0.6244676857985602
create,imagine,V,4.81,HYPER/HYPONYMS,0.7466193823777387
travel,move,V,6.47,SYNONYMS,0.5494151962952069
desire,need,V,5.13,NONE,0.682547879306704
rationalize,think,V,7.47,HYPER/HYPONYMS,0.8443477515546242
hide,deny,V,4.48,NONE,0.6955666242440575
increase,raise,V,8.13,HYPER/HYPONYMS,0.1304911511436896
talk,criticize,V,2.66,NONE,0.7842492843426541
determine,discover,V,5.64,NONE,0.5333048851053257
think,realize,V,5.15,NONE,0.685014697748871
boom,crash,V,6.31,COHYPONYMS,0.8655833198890239
replace,fix,V,2.11,NONE,0.8935337267715953
fall,dive,V,4.15,HYPER/HYPONYMS,0.6801101763776713
hold,reserve,V,6.31,HYPER/HYPONYMS,0.731355317403903
implode,explode,V,3.15,ANTONYMS,1.0527889207086265
sprain,strain,V,5.98,NONE,0.7966085935900232
respond,speak,V,7.3,NONE,0.7160481653998725
regret,forget,V,0.83,NONE,0.855755780696575
travel,go,V,7.97,SYNONYMS,0.5794423063006129
flee,fight,V,0.91,NONE,0.8517279988149234
soak,bleach,V,2.99,NONE,0.723013298683636
accept,allow,V,6.94,HYPER/HYPONYMS,0.5305078627038714
add,reduce,V,0.33,NONE,0.9697040853928015
save,deposit,V,5.48,NONE,0.8551232591426361
jump,dive,V,5.15,HYPER/HYPONYMS,0.67438228375216
hurt,prick,V,4.32,HYPER/HYPONYMS,0.9769301065910662
hide,repress,V,6.64,NONE,0.8284927977475993
bring,carry,V,4.98,HYPER/HYPONYMS,0.27352880324584716
get,ask,V,2.49,COHYPONYMS,0.8159108429737146
spin,turn,V,6.97,HYPER/HYPONYMS,0.3737873921610275
overflow,fill,V,3.98,NONE,0.894329380590537
offend,bother,V,6.14,NONE,0.6688102205500894
break,replace,V,0.5,HYPER/HYPONYMS,0.9592753839022695
run,hide,V,1.0,NONE,0.9722517508506762
start,begin,V,8.8,SYNONYMS,0.05866371636261858
spoil,perish,V,4.81,NONE,0.7146887190608866
weave,drive,V,0.91,COHYPONYMS,1.007142623608708
prepare,cook,V,6.14,SYNONYMS,0.8640313487320943
pretend,imitate,V,4.65,NONE,0.43756830496755206
lose,forget,V,4.07,HYPER/HYPONYMS,0.7210140132914531
hunt,kill,V,6.81,NONE,0.7896729306805427
let,allow,V,8.8,SYNONYMS,0.2269617152290253
look,appear,V,4.98,SYNONYMS,0.6090721937723562
tug,jerk,V,7.14,NONE,0.9247811729919162
dive,swim,V,4.32,HYPER/HYPONYMS,0.6099589999685364
dance,sway,V,3.82,NONE,0.890184185364724
whisper,yell,V,0.83,NONE,1.0373098518091664
salute,acknowledge,V,4.65,NONE,0.5698938960691999
become,make,V,4.15,HYPER/HYPONYMS,0.596717468296479
scare,surprise,V,5.31,NONE,0.7442899969568293
sway,move,V,6.81,HYPER/HYPONYMS,0.7287563109523822
go,send,V,1.49,NONE,0.9153288811133911
float,drift,V,7.3,SYNONYMS,0.6909971106241928
move,shift,V,7.55,HYPER/HYPONYMS,0.20923784156356673
reprimand,correct,V,6.31,HYPER/HYPONYMS,0.8803035431964861
leave,evacuate,V,7.47,NONE,0.690502124978738
clench,hold,V,6.64,NONE,0.9204656109874312
concentrate,wander,V,0.5,NONE,0.9109888132146663
suppose,guess,V,7.14,SYNONYMS,0.10722702549360985
split,leave,V,2.99,NONE,0.8872987779637473
get,put,V,1.33,NONE,0.6234441237556521
receive,send,V,2.32,NONE,0.7375349725206592
begin,introduce,V,4.32,HYPER/HYPONYMS,0.6689293338258286
call,yell,V,7.64,SYNONYMS,0.7693920691020313
cook,mix,V,3.49,COHYPONYMS,0.8968310533823646
ridicule,tease,V,8.47,COHYPONYMS,0.7979223439120028
associate,connect,V,6.97,SYNONYMS,0.745359508193797
entertain,enjoy,V,2.32,NONE,0.7168090078633425
reply,respond,V,9.79,SYNONYMS,0.26270945315122574
attack,beat,V,7.8,NONE,0.679287024826208
evict,throw,V,3.15,NONE,0.7768552427847577
crackle,pop,V,3.15,NONE,0.9003558842423857
sew,rip,V,0.83,NONE,0.8309209026017512
call,respond,V,5.15,NONE,0.7806525202234806
lose,find,V,0.0,ANTONYMS,1.0551695645688295
reject,accept,V,0.83,ANTONYMS,1.0217647353989951
run,evacuate,V,4.15,NONE,0.9733867277026951
hurry,rush,V,9.79,HYPER/HYPONYMS,0.05752310580728026
defend,prosecute,V,0.33,ANTONYMS,1.028050473670454
convince,lie,V,1.49,NONE,0.9225009946459359
lower,degrade,V,7.8,NONE,0.7919917806850253
enjoy,relax,V,5.81,NONE,0.8329636306292549
disintegrate,dissolve,V,8.13,COHYPONYMS,0.48089713975672577
introduce,show,V,6.14,NONE,0.6693179469802584
want,yearn,V,7.64,HYPER/HYPONYMS,0.36933496665894494
remark,talk,V,5.81,NONE,0.6968755309036948
float,drown,V,0.66,NONE,1.010423592089454
sit,lie,V,3.32,ANTONYMS,1.033938076343492
die,drown,V,4.81,HYPER/HYPONYMS,0.6946892196000862
combine,integrate,V,8.47,HYPER/HYPONYMS,0.43435631867358604
appear,see,V,3.65,NONE,0.699155141735821
smear,wipe,V,6.31,COHYPONYMS,0.6947697527246307
insult,offend,V,8.13,HYPER/HYPONYMS,0.17238604495179544
aggravate,irritate,V,8.3,HYPER/HYPONYMS,0.6284114259872239
flow,pour,V,5.31,HYPER/HYPONYMS,0.8931761184006268
play,swing,V,3.15,HYPER/HYPONYMS,0.8170859199245446
demand,need,V,2.82,SYNONYMS,0.30021485228372835
drip,sink,V,1.99,COHYPONYMS,0.8269181934781435
confess,lie,V,1.83,NONE,0.8736301799965209
remember,retain,V,8.63,HYPER/HYPONYMS,0.8944328809906693
sink,float,V,0.33,ANTONYMS,1.1318902258961323
remind,think,V,3.32,NONE,0.702611685403747
tell,instruct,V,6.97,HYPER/HYPONYMS,0.7451852604524867
take,replace,V,1.16,NONE,0.9242510747007772
destroy,demolish,V,9.13,HYPER/HYPONYMS,0.0362650521021477
fade,bleach,V,4.48,NONE,0.8279334522832319
run,escape,V,4.65,HYPER/HYPONYMS,0.7140683013930081
abuse,neglect,V,6.64,NONE,0.6300246135201419
take,choose,V,3.82,SYNONYMS,0.5130978800564558
fly,launch,V,4.32,NONE,0.8950488085097347
remember,recall,V,9.13,SYNONYMS,0.17309902691041212
tell,talk,V,8.3,HYPER/HYPONYMS,0.28580339176352654
boil,fry,V,3.32,NONE,0.6788057172322066
vacate,leave,V,8.63,HYPER/HYPONYMS,0.28567188607189176
keep,hold,V,6.14,SYNONYMS,0.431799042132864
testify,confess,V,4.81,NONE,0.6899839480031051
delay,wait,V,5.48,HYPER/HYPONYMS,0.6561905052938629
yawn,stretch,V,2.32,NONE,0.8490019490355454
make,compose,V,7.3,HYPER/HYPONYMS,0.665399693993709
make,do,V,4.15,SYNONYMS,0.4065960642157711
drink,vomit,V,0.15,NONE,0.803461879389032
grill,burn,V,2.99,NONE,0.9080179546477901
grab,hold,V,7.97,NONE,0.73951266425677
smoke,cough,V,2.66,NONE,0.8252427885955973
reappear,vanish,V,1.49,NONE,0.5387664195659758
think,pause,V,4.48,NONE,0.954781916975241
help,participate,V,6.14,NONE,0.6600695105407197
fight,kill,V,4.15,NONE,0.8566118581664721
rise,lift,V,7.47,SYNONYMS,0.6548066338220735
swap,change,V,7.97,HYPER/HYPONYMS,0.6233110813040921
crawl,climb,V,2.32,NONE,0.8305096081216382
see,hear,V,1.99,SYNONYMS,0.44037615775337957
win,fight,V,2.49,NONE,0.7482345310972892
leap,fall,V,1.66,NONE,0.8048667188421819
strike,blow,V,7.3,COHYPONYMS,0.41089193824302195
beat,hurt,V,5.64,NONE,0.8199087508350056
go,flee,V,6.14,NONE,0.6311324046293505
blend,mix,V,8.3,SYNONYMS,0.05080773202658018
meet,attend,V,3.82,NONE,0.741174796662928
fall,rise,V,0.33,ANTONYMS,1.0091417972298522
help,assist,V,8.0,SYNONYMS,0.09855269950220447
climb,fall,V,1.49,ANTONYMS,0.9521554836373618
burn,melt,V,5.81,NONE,0.7370400360707465
borrow,beg,V,2.66,NONE,0.8979101026338826
give,beg,V,0.66,NONE,0.8630594703353252
let,release,V,4.65,NONE,0.8001769594120928
increase,add,V,7.97,HYPER/HYPONYMS,0.6965464547297846
unload,carry,V,1.49,NONE,0.9297405305771709
talk,debate,V,5.81,HYPER/HYPONYMS,0.24632251185922982
describe,write,V,3.65,HYPER/HYPONYMS,0.8173383048820984
hear,tell,V,0.83,NONE,0.6127154089922864
doze,nap,V,8.8,HYPER/HYPONYMS,0.6059064590339865
stab,shoot,V,1.83,NONE,0.6542366257751665
grasp,understand,V,8.47,HYPER/HYPONYMS,0.4167591632635208
destroy,repair,V,0.83,NONE,1.014291501131278
accept,deny,V,1.0,ANTONYMS,1.0406305048762252
combine,join,V,7.47,NONE,0.38759625822564503
join,gather,V,5.15,NONE,0.7676063045232147
deny,reject,V,8.3,HYPER/HYPONYMS,0.11300350722330077
bend,turn,V,3.32,HYPER/HYPONYMS,0.6801437005325423
evict,move,V,2.66,HYPER/HYPONYMS,0.7616796801821986
tell,testify,V,4.98,HYPER/HYPONYMS,0.5779537575234613
define,mean,V,5.15,NONE,0.7261573460274622
triumph,defeat,V,4.65,NONE,1.0095558885793097
stop,whistle,V,0.33,NONE,0.8126599107608988
die,crash,V,2.82,HYPER/HYPONYMS,0.7566282136148156
realize,discover,V,7.14,NONE,0.7036424385290563
guess,try,V,2.32,NONE,0.8243247412323579
rub,grate,V,5.15,HYPER/HYPONYMS,0.9014193030006198
drag,pull,V,7.3,HYPER/HYPONYMS,0.6646210839079548
spell,speak,V,2.16,NONE,0.8011973213579179
remove,evict,V,6.14,NONE,0.35981433176876176
win,award,V,3.98,NONE,0.7625993734986438
hide,bury,V,5.31,HYPER/HYPONYMS,0.3379595724470671
gain,get,V,8.63,HYPER/HYPONYMS,0.3195104181052789
forgive,regret,V,1.16,NONE,0.5772523168114376
hide,find,V,1.66,NONE,0.8244469481702555
relax,stretch,V,3.65,NONE,0.8841311987353282
see,squint,V,3.15,NONE,0.6451160249249752
flee,escape,V,9.79,HYPER/HYPONYMS,0.05072760533320031
jerk,prick,V,0.5,NONE,0.19400471676073983
wear,erode,V,3.32,NONE,0.8510830299061548
waste,throw,V,2.66,NONE,0.7338756771115855
bury,forget,V,3.98,SYNONYMS,0.8111446626331172
frustrate,annoy,V,8.3,HYPER/HYPONYMS,0.527367544996505
learn,teach,V,2.82,SYNONYMS,0.2571393606900434
come,bring,V,1.83,NONE,0.7629404017854731
wait,stay,V,6.47,NONE,0.7779929030294591
burst,laugh,V,2.16,NONE,0.87322142129835
look,inspect,V,8.96,NONE,0.6283543606921147
portray,play,V,5.81,HYPER/HYPONYMS,0.8994148284725492
lose,defeat,V,2.32,NONE,0.8063661680797647
steal,rob,V,9.46,HYPER/HYPONYMS,0.20487384473023595
transplant,remove,V,3.49,NONE,0.8876788617725561
speak,listen,V,0.66,NONE,0.6288167144217882
think,compute,V,5.81,HYPER/HYPONYMS,0.8784372413558528
punish,deny,V,2.99,NONE,0.7927087222359277
solve,compute,V,5.15,HYPER/HYPONYMS,0.8084768071788195
organize,prepare,V,7.3,SYNONYMS,0.865772266656222
overflow,spill,V,7.14,HYPER/HYPONYMS,0.31267295402969475
disperse,spread,V,9.3,HYPER/HYPONYMS,0.3941323021809843
ask,suggest,V,4.32,NONE,0.7765325000779428
walk,talk,V,1.33,NONE,0.9540442541086792
toast,burn,V,5.64,NONE,0.6925252148701659
haunt,scare,V,6.19,NONE,0.5896275480086961
drink,gulp,V,6.47,HYPER/HYPONYMS,0.621485171983383
protect,help,V,5.15,NONE,0.7839632649437719
admit,give,V,2.32,ANTONYMS,0.6835920115527165
stay,come,V,1.0,NONE,0.8603200320775708
win,finish,V,4.48,NONE,0.8182706749284068
condemn,hate,V,5.64,NONE,0.7557414475705417
lean,sway,V,6.14,NONE,0.9554452491701226
kill,annihilate,V,8.13,HYPER/HYPONYMS,0.654401083415646
want,hope,V,5.15,HYPER/HYPONYMS,0.39162425785362853
slide,show,V,0.66,NONE,0.9127065427625884
scream,squeal,V,7.97,NONE,0.5939748157115818
join,integrate,V,7.8,NONE,0.6335679745479292
permit,deny,V,0.5,ANTONYMS,0.9932701187757957
choke,swallow,V,0.5,NONE,0.7466606502300104
smell,perspire,V,1.49,NONE,0.7557109631933091
keep,snatch,V,1.83,NONE,1.044276184646084
engage,go,V,6.14,NONE,0.825573709524107
sprinkle,pour,V,2.66,COHYPONYMS,0.767245204802367
save,restore,V,2.82,NONE,0.743781098635623
do,perform,V,7.47,SYNONYMS,0.5373060033242635
develop,create,V,8.3,HYPER/HYPONYMS,0.43560047269242474
supply,give,V,6.97,HYPER/HYPONYMS,0.6102068667767679
get,have,V,7.64,HYPER/HYPONYMS,0.32693321438359546
look,observe,V,9.3,NONE,0.6274498416374104
earn,gain,V,6.31,SYNONYMS,0.14019977560194707
dunk,drown,V,5.64,NONE,0.7028996290822629
seize,control,V,4.48,NONE,0.864451943349653
ponder,reflect,V,7.55,SYNONYMS,0.6987070884163556
rap,speak,V,3.49,HYPER/HYPONYMS,0.8791073307150894
change,replace,V,6.81,HYPER/HYPONYMS,0.6624813564475194
prohibit,stop,V,7.14,NONE,0.7384865322753735
build,destroy,V,0.5,NONE,0.815183462903945
choose,elect,V,8.47,HYPER/HYPONYMS,0.0649457968973558
survive,struggle,V,3.32,NONE,0.8477796516501996
crash,wreck,V,6.64,NONE,0.5214597815516138
release,go,V,3.82,NONE,0.944961244469327
decrease,lower,V,9.13,HYPER/HYPONYMS,0.16872016291049952
leave,escape,V,5.64,HYPER/HYPONYMS,0.6609990510739542
regret,worry,V,5.31,NONE,0.6629482288529753
hold,hug,V,7.64,HYPER/HYPONYMS,0.9336812834017314
push,urge,V,6.64,HYPER/HYPONYMS,0.7091134889325401
run,charge,V,5.15,NONE,0.9295713815307879
drift,move,V,5.31,HYPER/HYPONYMS,0.7507502433334332
mow,plow,V,4.32,NONE,0.5966656535046407
rinse,wash,V,7.64,SYNONYMS,0.12216920345960547
make,develop,V,6.14,HYPER/HYPONYMS,0.527272527112886
visit,travel,V,6.31,HYPER/HYPONYMS,0.36165183530149514
receive,give,V,0.66,NONE,0.7554466328708775
print,press,V,5.31,NONE,0.7976322789829522
dismiss,go,V,2.99,HYPER/HYPONYMS,0.8881627760773149
express,tell,V,5.98,HYPER/HYPONYMS,0.5155159623356396
break,connect,V,0.33,NONE,0.9965139227666395
veer,move,V,3.98,HYPER/HYPONYMS,0.865329164357464
fade,perish,V,6.47,NONE,0.6589602995927042
glance,stare,V,2.49,COHYPONYMS,0.4441494436747735
hate,respect,V,0.17,NONE,0.9830985104994284
doubt,disbelieve,V,8.8,HYPER/HYPONYMS,0.8856681745698365
persuade,ask,V,4.15,NONE,0.7793587613290691
beat,mistreat,V,5.64,NONE,0.817121467010042
lie,deceive,V,9.3,COHYPONYMS,0.7011412110983966
scribble,draw,V,8.13,HYPER/HYPONYMS,0.8798831203552409
grab,release,V,0.33,NONE,0.9064733512372775
comfort,relax,V,5.15,NONE,0.438406993858551
sweat,shiver,V,1.16,NONE,0.7355359717393464
exist,die,V,1.16,NONE,0.9966782368686407
strive,try,V,7.47,HYPER/HYPONYMS,0.16175907657389144
perceive,understand,V,8.3,HYPER/HYPONYMS,0.6409218900956557
squeeze,crush,V,7.3,SYNONYMS,0.6732109121202149
solve,find,V,6.14,NONE,0.7923014487142233
show,dance,V,2.82,NONE,0.8684299299833524
entertain,sing,V,5.98,NONE,0.770065588324367
stretch,pull,V,6.47,HYPER/HYPONYMS,0.789821599182877
adjourn,finish,V,7.97,HYPER/HYPONYMS,0.7574160001310726
think,determine,V,3.82,NONE,0.7955319970267666
soothe,console,V,8.3,SYNONYMS,1.015502431942457
disturb,awake,V,5.43,NONE,0.7985082962127992
finish,diminish,V,3.15,NONE,0.9689189528458432
talk,pray,V,2.49,NONE,0.8148041716687683
stop,hamper,V,4.98,NONE,0.6785728836521234
leap,hop,V,6.31,HYPER/HYPONYMS,0.1221325366890883
tear,demolish,V,4.98,NONE,0.6567095132011616
blow,pop,V,2.49,COHYPONYMS,0.9053161891877071
accept,refuse,V,1.83,ANTONYMS,1.0490423370466808
return,recall,V,4.81,SYNONYMS,0.846472121542392
teach,educate,V,9.63,HYPER/HYPONYMS,0.2341292403380315
believe,accept,V,5.64,HYPER/HYPONYMS,0.6375253606942183
attack,kill,V,4.23,NONE,0.776778927152481
save,reserve,V,6.97,HYPER/HYPONYMS,0.7439262749053002
inspect,find,V,5.31,NONE,0.7174440008860863
demolish,wreck,V,9.3,NONE,0.3275574090295058
tell,suggest,V,3.65,HYPER/HYPONYMS,0.6475214150025527
gamble,win,V,2.66,NONE,0.8466219462642278
reflect,see,V,4.15,NONE,0.683153060653384
split,crack,V,7.97,NONE,0.6101259539314516
gain,learn,V,3.98,NONE,0.4822983694579296
understand,comprehend,V,9.79,HYPER/HYPONYMS,0.047399126511751044
console,help,V,4.81,NONE,0.9559637606368359
pay,buy,V,5.48,HYPER/HYPONYMS,0.6670015195756431
deliver,take,V,2.49,NONE,0.6525067064490664
comprehend,perceive,V,5.43,SYNONYMS,0.6362872731123065
sneak,slither,V,4.81,NONE,0.6725460967060886
restore,repair,V,8.47,SYNONYMS,0.6300098038428853
buy,purchase,V,9.46,SYNONYMS,0.1072612910304408
make,reproduce,V,5.81,HYPER/HYPONYMS,0.8470700666303753
punish,forbid,V,2.32,NONE,0.6703205449106159
watch,examine,V,7.24,HYPER/HYPONYMS,0.7264808904229936
perspire,sweat,V,9.63,SYNONYMS,0.41919085100122866
judge,condemn,V,6.47,NONE,0.7585865666120415
move,stay,V,0.5,ANTONYMS,1.0454477309959678
