word1,word2,pos,sv_score,relation,cf_score,include,one_minus_cf,wn_wup,sv_bucket,cf_bucket,wn_bucket
shake,shiver,V,6.31,HYPER/HYPONYMS,0.14376014,1,0.8562398597560541,0.3333333333333333,0.05999999999999961,0.1062398597560541,0.08333333333333331
take,carry,V,5.64,HYPER/HYPONYMS,0.320589555,1,0.679410444780496,0.2,0.13999999999999968,0.17941044478049595,0.2
accomplish,succeed,V,8.3,HYPER/HYPONYMS,0.6153233060000001,1,0.3846766942626539,0.16666666666666666,0.05000000000000071,0.13467669426265388,0.16666666666666666
drive,operate,V,4.98,HYPER/HYPONYMS,0.8188511340000001,1,0.181148865937869,0.1,0.23000000000000043,0.181148865937869,0.1
ask,tell,V,0.66,HYPER/HYPONYMS,0.7516953209999999,1,0.248304679179626,0.14285714285714285,0.16000000000000003,0.248304679179626,0.14285714285714285
gather,reap,V,5.98,HYPER/HYPONYMS,0.34997595299999995,1,0.6500240469092929,0.5,0.23000000000000043,0.15002404690929294,0.0
bend,break,V,4.65,NONE,0.8711646909999999,1,0.128835308631616,0.14285714285714285,0.15000000000000036,0.128835308631616,0.14285714285714285
tear,break,V,6.14,COHYPONYMS,0.760414397,1,0.23958560250392,0.14285714285714285,0.13999999999999968,0.23958560250392,0.14285714285714285
jump,skip,V,5.48,SYNONYMS,0.234562339,1,0.7654376611486059,0.2,0.23000000000000043,0.015437661148605897,0.2
agree,admit,V,3.98,NONE,0.462287254,1,0.5377127463456151,0.16666666666666666,0.22999999999999998,0.037712746345615056,0.16666666666666666
give,bring,V,4.98,COHYPONYMS,0.398026564,1,0.60197343581222,0.2,0.23000000000000043,0.10197343581221996,0.2
go,move,V,6.31,SYNONYMS,0.36269069,1,0.637309310449163,1.0,0.05999999999999961,0.13730931044916295,0.0
kill,shoot,V,5.31,HYPER/HYPONYMS,0.27106371,1,0.728936290456185,0.14285714285714285,0.05999999999999961,0.22893629045618502,0.14285714285714285
crunch,chew,V,6.47,HYPER/HYPONYMS,0.860822957,1,0.13917704332644198,0.09090909090909093,0.21999999999999975,0.13917704332644198,0.09090909090909093
carry,tow,V,4.98,NONE,0.777971358,1,0.22202864230812505,0.16666666666666666,0.23000000000000043,0.22202864230812505,0.16666666666666666
sing,hum,V,5.98,COHYPONYMS,0.8150373790000001,1,0.184962620865184,0.3333333333333333,0.23000000000000043,0.184962620865184,0.08333333333333331
dismay,upset,V,6.64,NONE,0.591852708,1,0.408147291992336,0.16666666666666666,0.13999999999999968,0.15814729199233601,0.16666666666666666
shun,ignore,V,8.63,NONE,0.945358011,1,0.054641988988793,0.14285714285714285,0.13000000000000078,0.054641988988793,0.14285714285714285
believe,know,V,3.65,NONE,0.485810547,1,0.51418945318428,0.16666666666666666,0.1499999999999999,0.014189453184279999,0.16666666666666666
hurt,smash,V,4.65,HYPER/HYPONYMS,0.6968599440000001,1,0.303140055914127,0.16666666666666666,0.15000000000000036,0.053140055914127016,0.16666666666666666
prefer,hate,V,1.0,NONE,0.78769677,1,0.212303229615502,0.2,0.0,0.212303229615502,0.2
cook,bake,V,7.8,HYPER/HYPONYMS,0.23581956,1,0.7641804396633409,0.125,0.04999999999999982,0.014180439663340927,0.125
reprimand,yell,V,4.48,NONE,0.890832636,1,0.109167364232345,0.1111111111111111,0.23000000000000043,0.109167364232345,0.1111111111111111
break,destroy,V,8.3,HYPER/HYPONYMS,0.77807339,1,0.221926609780774,0.16666666666666666,0.05000000000000071,0.221926609780774,0.16666666666666666
hit,slap,V,7.97,NONE,0.434046124,1,0.5659538757765781,0.14285714285714285,0.21999999999999975,0.06595387577657807,0.14285714285714285
wrap,tie,V,5.31,NONE,0.781404215,1,0.218595784817444,0.14285714285714285,0.05999999999999961,0.218595784817444,0.14285714285714285
upset,frustrate,V,7.64,NONE,0.580323742,1,0.419676258009427,0.16666666666666666,0.13999999999999968,0.16967625800942698,0.16666666666666666
show,preview,V,5.64,NONE,0.745426978,1,0.254573022104548,0.16666666666666666,0.13999999999999968,0.004573022104548019,0.16666666666666666
accuse,tell,V,2.49,NONE,0.760315374,1,0.239684625698728,0.2,0.2400000000000002,0.239684625698728,0.2
hate,disown,V,4.48,NONE,0.764813937,1,0.23518606307823606,0.1111111111111111,0.23000000000000043,0.23518606307823606,0.1111111111111111
pounce,bounce,V,2.99,NONE,0.098729658,1,0.901270341995876,0.14285714285714285,0.2400000000000002,0.15127034199587597,0.14285714285714285
respect,like,V,5.48,COHYPONYMS,0.7509530240000001,1,0.24904697609962306,0.125,0.23000000000000043,0.24904697609962306,0.125
sell,purchase,V,2.16,ANTONYMS,0.938847328,1,0.061152672438543,0.16666666666666666,0.16000000000000014,0.061152672438543,0.16666666666666666
put,take,V,1.49,HYPER/HYPONYMS,0.609831401,1,0.39016859915061697,0.2,0.24,0.14016859915061697,0.2
charge,cover,V,1.66,NONE,0.888650211,1,0.111349789156318,0.2,0.15999999999999992,0.111349789156318,0.2
melt,freeze,V,0.17,ANTONYMS,0.7704726540000001,1,0.22952734589327106,0.14285714285714285,0.17,0.22952734589327106,0.14285714285714285
agree,differ,V,1.16,ANTONYMS,1.050674512,1,-0.0506745118217,0.3333333333333333,0.15999999999999992,0.1993254881783,0.08333333333333331
flap,fold,V,2.16,NONE,0.800525919,1,0.19947408086656,0.16666666666666666,0.16000000000000014,0.19947408086656,0.16666666666666666
die,survive,V,0.15,NONE,0.825553689,1,0.17444631129576998,0.2,0.15,0.17444631129576998,0.2
pull,lift,V,2.82,COHYPONYMS,0.599605379,1,0.400394621181129,0.3333333333333333,0.06999999999999984,0.150394621181129,0.08333333333333331
hitch,ride,V,4.48,HYPER/HYPONYMS,0.87182595,1,0.12817404976434402,0.16666666666666666,0.23000000000000043,0.12817404976434402,0.16666666666666666
live,let,V,1.99,NONE,0.961147236,1,0.038852764077945,0.25,0.24,0.038852764077945,0.0
sow,plow,V,2.32,NONE,0.816995301,1,0.183004698799712,0.1111111111111111,0.06999999999999984,0.183004698799712,0.1111111111111111
destroy,kill,V,7.8,HYPER/HYPONYMS,0.753941306,1,0.246058693789782,0.25,0.04999999999999982,0.246058693789782,0.0
obtain,get,V,9.3,HYPER/HYPONYMS,0.15435906900000002,1,0.845640931005685,0.5,0.05000000000000071,0.09564093100568505,0.0
buy,sell,V,0.0,ANTONYMS,1.129315498,1,-0.129315498304657,0.16666666666666666,0.0,0.120684501695343,0.16666666666666666
deposit,put,V,6.47,HYPER/HYPONYMS,0.756981225,1,0.243018775089486,0.14285714285714285,0.21999999999999975,0.243018775089486,0.14285714285714285
rise,wake,V,8.3,NONE,0.7211855840000001,1,0.27881441610385904,0.25,0.05000000000000071,0.028814416103859042,0.0
pray,kneel,V,1.83,NONE,0.6163322210000001,1,0.3836677791204289,0.1111111111111111,0.08000000000000007,0.13366777912042888,0.1111111111111111
jump,climb,V,1.99,HYPER/HYPONYMS,0.329155761,1,0.670844239391428,0.16666666666666666,0.24,0.170844239391428,0.16666666666666666
rescue,survive,V,1.16,NONE,0.76984778,1,0.23015221980731604,0.25,0.15999999999999992,0.23015221980731604,0.0
succeed,overcome,V,6.97,NONE,0.715000548,1,0.284999452368917,0.3333333333333333,0.21999999999999975,0.034999452368916995,0.08333333333333331
look,examine,V,8.3,HYPER/HYPONYMS,0.567968483,1,0.432031516645956,0.3333333333333333,0.05000000000000071,0.18203151664595602,0.08333333333333331
delay,pause,V,8.13,HYPER/HYPONYMS,0.7381930870000001,1,0.261806913386531,0.1,0.13000000000000078,0.011806913386531004,0.1
take,use,V,3.15,HYPER/HYPONYMS,0.7500039740000001,1,0.249996025740612,0.25,0.1499999999999999,0.249996025740612,0.0
color,decorate,V,4.48,COHYPONYMS,0.7710273809999999,1,0.228972619147908,0.3333333333333333,0.23000000000000043,0.228972619147908,0.08333333333333331
get,achieve,V,6.31,NONE,0.302888009,1,0.6971119907009972,0.25,0.05999999999999961,0.19711199070099716,0.0
drink,intoxicate,V,4.23,NONE,0.70675938,1,0.293240619916173,0.14285714285714285,0.23000000000000043,0.043240619916173006,0.14285714285714285
die,deteriorate,V,2.49,NONE,0.991980706,1,0.008019294441511,0.2,0.2400000000000002,0.008019294441511,0.2
treat,buy,V,4.98,NONE,0.882736345,1,0.117263654784644,0.16666666666666666,0.23000000000000043,0.117263654784644,0.16666666666666666
dump,waste,V,5.98,COHYPONYMS,0.595108496,1,0.404891503793804,0.16666666666666666,0.23000000000000043,0.154891503793804,0.16666666666666666
learn,evaluate,V,3.65,NONE,0.880585023,1,0.119414977419654,0.2,0.1499999999999999,0.119414977419654,0.2
know,meet,V,2.82,NONE,0.706123423,1,0.29387657701145004,0.3333333333333333,0.06999999999999984,0.043876577011450035,0.08333333333333331
compete,finish,V,4.98,NONE,0.883118002,1,0.116881997575171,0.2,0.23000000000000043,0.116881997575171,0.2
sing,rap,V,5.58,NONE,0.847930614,1,0.15206938571892498,0.1,0.08000000000000007,0.15206938571892498,0.1
beat,kill,V,3.65,HYPER/HYPONYMS,0.8251919259999999,1,0.174808073800667,0.25,0.1499999999999999,0.174808073800667,0.0
thaw,melt,V,8.47,SYNONYMS,0.17157692600000002,1,0.8284230741594749,0.2,0.22000000000000064,0.07842307415947491,0.2
kidnap,capture,V,7.8,NONE,0.648986842,1,0.35101315844421305,0.125,0.04999999999999982,0.10101315844421305,0.125
gulp,slurp,V,4.98,NONE,0.287050979,1,0.7129490213286179,0.2,0.23000000000000043,0.21294902132861793,0.2
walk,jog,V,4.32,NONE,0.6951522109999999,1,0.30484778914613897,0.1111111111111111,0.07000000000000028,0.05484778914613897,0.1111111111111111
think,presume,V,3.49,HYPER/HYPONYMS,0.228384046,1,0.771615954191302,0.25,0.2400000000000002,0.021615954191302023,0.0
say,speak,V,9.3,NONE,0.291551308,1,0.708448692355678,0.14285714285714285,0.05000000000000071,0.20844869235567798,0.14285714285714285
tend,help,V,7.47,HYPER/HYPONYMS,0.902050772,1,0.09794922772571303,0.2,0.21999999999999975,0.09794922772571303,0.2
see,meet,V,5.31,SYNONYMS,0.711810297,1,0.288189703208376,0.25,0.05999999999999961,0.038189703208376,0.0
preview,look,V,7.3,NONE,0.742880733,1,0.25711926671562696,0.2,0.04999999999999982,0.0071192667156269596,0.2
forget,decay,V,0.83,NONE,0.968624312,1,0.03137568803006,0.2,0.07999999999999996,0.03137568803006,0.2
kick,punch,V,1.66,COHYPONYMS,0.609150434,1,0.39084956615356,0.14285714285714285,0.15999999999999992,0.14084956615355998,0.14285714285714285
claim,take,V,5.15,SYNONYMS,0.93144062,1,0.06855938007899401,0.2,0.15000000000000036,0.06855938007899401,0.2
sell,borrow,V,0.66,NONE,1.107374157,1,-0.107374157478394,0.16666666666666666,0.16000000000000003,0.14262584252160598,0.16666666666666666
confuse,understand,V,0.5,NONE,0.8752138209999999,1,0.124786178621995,0.14285714285714285,0.0,0.124786178621995,0.14285714285714285
want,crave,V,7.64,HYPER/HYPONYMS,0.528058799,1,0.471941200721836,0.5,0.13999999999999968,0.22194120072183599,0.0
veer,look,V,1.16,NONE,0.8934374429999999,1,0.106562556884965,0.2,0.15999999999999992,0.106562556884965,0.2
persuade,discourage,V,1.66,NONE,1.014284349,1,-0.014284348637463,0.1111111111111111,0.15999999999999992,0.235715651362537,0.1111111111111111
arrive,depart,V,1.0,ANTONYMS,0.961613341,1,0.038386658909211,0.2,0.0,0.038386658909211,0.2
skip,miss,V,7.14,HYPER/HYPONYMS,0.836322922,1,0.16367707776033,0.25,0.13999999999999968,0.16367707776033,0.0
talk,describe,V,5.15,NONE,0.788010248,1,0.21198975234552894,0.125,0.15000000000000036,0.21198975234552894,0.125
take,acquire,V,6.31,HYPER/HYPONYMS,0.7070346340000001,1,0.292965366478624,0.25,0.05999999999999961,0.04296536647862398,0.0
perform,entertain,V,7.14,NONE,0.8515062720000001,1,0.14849372808989098,0.16666666666666666,0.13999999999999968,0.14849372808989098,0.16666666666666666
wipe,wash,V,4.81,NONE,0.518473726,1,0.481526274110324,0.1,0.05999999999999961,0.231526274110324,0.1
pray,hope,V,6.97,NONE,0.77754732,1,0.222452680432846,0.1111111111111111,0.21999999999999975,0.222452680432846,0.1111111111111111
decline,lower,V,3.32,NONE,0.235451194,1,0.764548806299488,0.16666666666666666,0.06999999999999984,0.01454880629948796,0.16666666666666666
determine,understand,V,6.31,NONE,0.7766394959999999,1,0.223360503749028,0.3333333333333333,0.05999999999999961,0.223360503749028,0.08333333333333331
sting,prick,V,6.31,SYNONYMS,0.8246042809999999,1,0.175395718660696,0.125,0.05999999999999961,0.175395718660696,0.125
search,seek,V,9.63,SYNONYMS,0.353648077,1,0.646351923265746,0.25,0.13000000000000078,0.14635192326574598,0.0
disprove,dislike,V,8.3,NONE,0.859136715,1,0.140863285444193,0.16666666666666666,0.05000000000000071,0.140863285444193,0.16666666666666666
pull,detach,V,4.32,NONE,0.720817942,1,0.279182057769991,0.2,0.07000000000000028,0.029182057769991,0.2
disbelieve,believe,V,0.33,ANTONYMS,1.036222125,1,-0.036222125273477006,0.2,0.08000000000000002,0.213777874726523,0.2
lean,fall,V,2.16,HYPER/HYPONYMS,0.873949144,1,0.126050855624659,0.14285714285714285,0.16000000000000014,0.126050855624659,0.14285714285714285
get,grab,V,6.31,HYPER/HYPONYMS,0.578428236,1,0.4215717637753811,0.2,0.05999999999999961,0.17157176377538108,0.2
control,hold,V,5.15,HYPER/HYPONYMS,0.860390868,1,0.139609132089966,0.3333333333333333,0.15000000000000036,0.139609132089966,0.08333333333333331
alter,change,V,9.63,SYNONYMS,0.080852226,1,0.9191477743777752,1.0,0.13000000000000078,0.16914777437777517,0.0
kidnap,take,V,5.98,HYPER/HYPONYMS,0.891056592,1,0.108943407608064,0.16666666666666666,0.23000000000000043,0.108943407608064,0.16666666666666666
disturb,interrupt,V,8.63,SYNONYMS,0.25199324300000003,1,0.748006757465119,0.14285714285714285,0.13000000000000078,0.24800675746511902,0.14285714285714285
seem,appear,V,7.64,SYNONYMS,0.27962765100000003,1,0.720372348984459,1.0,0.13999999999999968,0.220372348984459,0.0
repeat,do,V,2.99,NONE,0.956583443,1,0.043416557301755,0.125,0.2400000000000002,0.043416557301755,0.125
compose,create,V,8.13,HYPER/HYPONYMS,0.750904984,1,0.249095016124877,0.25,0.13000000000000078,0.249095016124877,0.0
justify,prove,V,6.31,NONE,0.692919394,1,0.307080605907956,0.16666666666666666,0.05999999999999961,0.057080605907955995,0.16666666666666666
separate,combine,V,0.5,ANTONYMS,0.8305095859999999,1,0.16949041374833698,0.25,0.0,0.16949041374833698,0.0
disintegrate,melt,V,5.15,NONE,0.671513949,1,0.328486051174564,0.25,0.15000000000000036,0.07848605117456398,0.0
have,hold,V,4.81,SYNONYMS,0.640795016,1,0.3592049841256489,0.3333333333333333,0.05999999999999961,0.10920498412564889,0.08333333333333331
kill,live,V,0.33,NONE,0.950931321,1,0.049068678505065,0.25,0.08000000000000002,0.049068678505065,0.0
descend,lower,V,7.64,NONE,0.827054622,1,0.172945378075013,0.2,0.13999999999999968,0.172945378075013,0.2
disprove,agree,V,0.33,NONE,0.968124027,1,0.031875973430424004,0.16666666666666666,0.08000000000000002,0.031875973430424004,0.16666666666666666
run,hurry,V,5.98,HYPER/HYPONYMS,0.828604497,1,0.17139550303817802,0.5,0.23000000000000043,0.17139550303817802,0.0
reap,gain,V,6.97,HYPER/HYPONYMS,0.5701788720000001,1,0.429821128133424,0.16666666666666666,0.21999999999999975,0.179821128133424,0.16666666666666666
rub,hold,V,1.49,NONE,1.007726991,1,-0.00772699057687,0.25,0.24,0.24227300942313,0.0
finish,start,V,0.5,ANTONYMS,0.995109971,1,0.0048900289773990005,0.2,0.0,0.0048900289773990005,0.2
pull,tow,V,7.3,HYPER/HYPONYMS,0.604506236,1,0.395493764263053,0.25,0.04999999999999982,0.145493764263053,0.0
swap,give,V,3.17,NONE,0.961319074,1,0.038680926224479,0.2,0.16999999999999993,0.038680926224479,0.2
annoy,aggravate,V,8.13,NONE,0.628035703,1,0.371964297186308,0.2,0.13000000000000078,0.12196429718630802,0.2
deteriorate,disappear,V,3.92,NONE,0.7967505359999999,1,0.2032494641675,0.2,0.16999999999999993,0.2032494641675,0.2
hike,trail,V,5.48,NONE,0.7878971229999999,1,0.212102876695877,0.125,0.23000000000000043,0.212102876695877,0.125
compute,add,V,6.14,HYPER/HYPONYMS,0.985957522,1,0.014042478050556,0.125,0.13999999999999968,0.014042478050556,0.125
pull,strain,V,3.65,NONE,0.850756278,1,0.149243721800974,0.125,0.1499999999999999,0.149243721800974,0.125
assault,hit,V,8.13,NONE,0.4477315,1,0.552268500027091,0.2,0.13000000000000078,0.05226850002709105,0.2
inhale,breathe,V,7.97,HYPER/HYPONYMS,0.182975732,1,0.817024267767387,0.2,0.21999999999999975,0.06702426776738701,0.2
sneak,lie,V,5.48,NONE,0.8949233059999999,1,0.105076694257067,0.16666666666666666,0.23000000000000043,0.105076694257067,0.16666666666666666
brush,paint,V,6.97,COHYPONYMS,0.76609209,1,0.23390790971438896,0.14285714285714285,0.21999999999999975,0.23390790971438896,0.14285714285714285
want,get,V,2.16,NONE,0.624467686,1,0.37553231420144,0.3333333333333333,0.16000000000000014,0.12553231420144,0.08333333333333331
create,imagine,V,4.81,HYPER/HYPONYMS,0.746619382,1,0.253380617622261,0.3333333333333333,0.05999999999999961,0.003380617622260995,0.08333333333333331
travel,move,V,6.47,SYNONYMS,0.549415196,1,0.4505848037047929,1.0,0.21999999999999975,0.20058480370479292,0.0
desire,need,V,5.13,NONE,0.682547879,1,0.317452120693296,0.3333333333333333,0.1299999999999999,0.06745212069329598,0.08333333333333331
rationalize,think,V,7.47,HYPER/HYPONYMS,0.844347752,1,0.155652248445376,0.1,0.21999999999999975,0.155652248445376,0.1
hide,deny,V,4.48,NONE,0.695566624,1,0.304433375755943,0.2,0.23000000000000043,0.05443337575594298,0.2
increase,raise,V,8.13,HYPER/HYPONYMS,0.130491151,1,0.8695088488563101,0.14285714285714285,0.13000000000000078,0.11950884885631008,0.14285714285714285
talk,criticize,V,2.66,NONE,0.784249284,1,0.215750715657346,0.1,0.16000000000000014,0.215750715657346,0.1
determine,discover,V,5.64,NONE,0.533304885,1,0.466695114894674,0.2,0.13999999999999968,0.21669511489467402,0.2
think,realize,V,5.15,NONE,0.6850146979999999,1,0.314985302251129,0.16666666666666666,0.15000000000000036,0.06498530225112897,0.16666666666666666
boom,crash,V,6.31,COHYPONYMS,0.86558332,1,0.13441668011097602,0.14285714285714285,0.05999999999999961,0.13441668011097602,0.14285714285714285
replace,fix,V,2.11,NONE,0.893533727,1,0.106466273228405,0.125,0.10999999999999988,0.106466273228405,0.125
fall,dive,V,4.15,HYPER/HYPONYMS,0.6801101759999999,1,0.319889823622329,0.25,0.15000000000000036,0.06988982362232898,0.0
hold,reserve,V,6.31,HYPER/HYPONYMS,0.731355317,1,0.268644682596097,0.14285714285714285,0.05999999999999961,0.018644682596096973,0.14285714285714285
implode,explode,V,3.15,ANTONYMS,1.052788921,1,-0.052788920708627,0.2,0.1499999999999999,0.197211079291373,0.2
sprain,strain,V,5.98,NONE,0.7966085940000001,1,0.203391406409977,0.09090909090909093,0.23000000000000043,0.203391406409977,0.09090909090909093
respond,speak,V,7.3,NONE,0.716048165,1,0.283951834600128,0.2,0.04999999999999982,0.03395183460012802,0.2
regret,forget,V,0.83,NONE,0.8557557809999999,1,0.144244219303425,0.25,0.07999999999999996,0.144244219303425,0.0
travel,go,V,7.97,SYNONYMS,0.579442306,1,0.420557693699387,1.0,0.21999999999999975,0.170557693699387,0.0
flee,fight,V,0.91,NONE,0.8517279990000001,1,0.148272001185077,0.2,0.16000000000000003,0.148272001185077,0.2
soak,bleach,V,2.99,NONE,0.7230132990000001,1,0.276986701316364,0.125,0.2400000000000002,0.026986701316363992,0.125
accept,allow,V,6.94,HYPER/HYPONYMS,0.530507863,1,0.4694921372961289,0.2,0.1900000000000004,0.21949213729612888,0.2
add,reduce,V,0.33,NONE,0.969704085,1,0.030295914607199,0.125,0.08000000000000002,0.030295914607199,0.125
save,deposit,V,5.48,NONE,0.8551232590000001,1,0.14487674085736402,0.125,0.23000000000000043,0.14487674085736402,0.125
jump,dive,V,5.15,HYPER/HYPONYMS,0.6743822840000001,1,0.32561771624784003,0.16666666666666666,0.15000000000000036,0.07561771624784003,0.16666666666666666
hurt,prick,V,4.32,HYPER/HYPONYMS,0.976930107,1,0.023069893408934,0.14285714285714285,0.07000000000000028,0.023069893408934,0.14285714285714285
hide,repress,V,6.64,NONE,0.828492798,1,0.171507202252401,0.25,0.13999999999999968,0.171507202252401,0.0
bring,carry,V,4.98,HYPER/HYPONYMS,0.273528803,1,0.726471196754153,0.5,0.23000000000000043,0.22647119675415295,0.0
get,ask,V,2.49,COHYPONYMS,0.8159108429999999,1,0.184089157026285,0.16666666666666666,0.2400000000000002,0.184089157026285,0.16666666666666666
spin,turn,V,6.97,HYPER/HYPONYMS,0.3737873920000001,1,0.626212607838972,0.2,0.21999999999999975,0.12621260783897204,0.2
overflow,fill,V,3.98,NONE,0.8943293809999999,1,0.105670619409463,0.14285714285714285,0.22999999999999998,0.105670619409463,0.14285714285714285
offend,bother,V,6.14,NONE,0.668810221,1,0.331189779449911,0.09090909090909093,0.13999999999999968,0.08118977944991101,0.09090909090909093
break,replace,V,0.5,HYPER/HYPONYMS,0.959275384,1,0.040724616097731,0.125,0.0,0.040724616097731,0.125
run,hide,V,1.0,NONE,0.972251751,1,0.027748249149324,0.2,0.0,0.027748249149324,0.2
