word1,word2,pos,sv_score,relation,cf_score,include,one_minus_cf
look,examine,V,8.3,HYPER/HYPONYMS,0.567968483,1,0.432031516645956
delay,pause,V,8.13,HYPER/HYPONYMS,0.738193087,1,0.261806913386531
take,use,V,3.15,HYPER/HYPONYMS,0.750003974,1,0.249996025740612
color,decorate,V,4.48,COHYPONYMS,0.771027381,1,0.228972619147908
get,achieve,V,6.31,NONE,0.302888009,1,0.697111990700997
drink,intoxicate,V,4.23,NONE,0.70675938,1,0.293240619916173
die,deteriorate,V,2.49,NONE,0.991980706,1,0.008019294441511
treat,buy,V,4.98,NONE,0.882736345,1,0.117263654784644
dump,waste,V,5.98,COHYPONYMS,0.595108496,1,0.404891503793804
learn,evaluate,V,3.65,NONE,0.880585023,1,0.119414977419654
know,meet,V,2.82,NONE,0.706123423,1,0.29387657701145
compete,finish,V,4.98,NONE,0.883118002,1,0.116881997575171
sing,rap,V,5.58,NONE,0.847930614,1,0.152069385718925
beat,kill,V,3.65,HYPER/HYPONYMS,0.825191926,1,0.174808073800667
thaw,melt,V,8.47,SYNONYMS,0.171576926,1,0.828423074159475
kidnap,capture,V,7.8,NONE,0.648986842,1,0.351013158444213
gulp,slurp,V,4.98,NONE,0.287050979,1,0.712949021328618
walk,jog,V,4.32,NONE,0.695152211,1,0.304847789146139
think,presume,V,3.49,HYPER/HYPONYMS,0.228384046,1,0.771615954191302
say,speak,V,9.3,NONE,0.291551308,1,0.708448692355678
tend,help,V,7.47,HYPER/HYPONYMS,0.902050772,1,0.097949227725713
see,meet,V,5.31,SYNONYMS,0.711810297,1,0.288189703208376
preview,look,V,7.3,NONE,0.742880733,1,0.257119266715627
forget,decay,V,0.83,NONE,0.968624312,1,0.03137568803006
kick,punch,V,1.66,COHYPONYMS,0.609150434,1,0.39084956615356
claim,take,V,5.15,SYNONYMS,0.93144062,1,0.068559380078994
sell,borrow,V,0.66,NONE,1.107374157,1,-0.107374157478394
confuse,understand,V,0.5,NONE,0.875213821,1,0.124786178621995
want,crave,V,7.64,HYPER/HYPONYMS,0.528058799,1,0.471941200721836
veer,look,V,1.16,NONE,0.893437443,1,0.106562556884965
persuade,discourage,V,1.66,NONE,1.014284349,1,-0.014284348637463
arrive,depart,V,1,ANTONYMS,0.961613341,1,0.038386658909211
skip,miss,V,7.14,HYPER/HYPONYMS,0.836322922,1,0.16367707776033
talk,describe,V,5.15,NONE,0.788010248,1,0.211989752345529
take,acquire,V,6.31,HYPER/HYPONYMS,0.707034634,1,0.292965366478624
perform,entertain,V,7.14,NONE,0.851506272,1,0.148493728089891
wipe,wash,V,4.81,NONE,0.518473726,1,0.481526274110324
pray,hope,V,6.97,NONE,0.77754732,1,0.222452680432846
decline,lower,V,3.32,NONE,0.235451194,1,0.764548806299488
determine,understand,V,6.31,NONE,0.776639496,1,0.223360503749028
sting,prick,V,6.31,SYNONYMS,0.824604281,1,0.175395718660696
search,seek,V,9.63,SYNONYMS,0.353648077,1,0.646351923265746
disprove,dislike,V,8.3,NONE,0.859136715,1,0.140863285444193
pull,detach,V,4.32,NONE,0.720817942,1,0.279182057769991
disbelieve,believe,V,0.33,ANTONYMS,1.036222125,1,-0.036222125273477
lean,fall,V,2.16,HYPER/HYPONYMS,0.873949144,1,0.126050855624659
get,grab,V,6.31,HYPER/HYPONYMS,0.578428236,1,0.421571763775381
control,hold,V,5.15,HYPER/HYPONYMS,0.860390868,1,0.139609132089966
alter,change,V,9.63,SYNONYMS,0.080852226,1,0.919147774377775
kidnap,take,V,5.98,HYPER/HYPONYMS,0.891056592,1,0.108943407608064
disturb,interrupt,V,8.63,SYNONYMS,0.251993243,1,0.748006757465119
seem,appear,V,7.64,SYNONYMS,0.279627651,1,0.720372348984459
repeat,do,V,2.99,NONE,0.956583443,1,0.043416557301755
compose,create,V,8.13,HYPER/HYPONYMS,0.750904984,1,0.249095016124877
justify,prove,V,6.31,NONE,0.692919394,1,0.307080605907956
separate,combine,V,0.5,ANTONYMS,0.830509586,1,0.169490413748337
disintegrate,melt,V,5.15,NONE,0.671513949,1,0.328486051174564
have,hold,V,4.81,SYNONYMS,0.640795016,1,0.359204984125649
kill,live,V,0.33,NONE,0.950931321,1,0.049068678505065
descend,lower,V,7.64,NONE,0.827054622,1,0.172945378075013
disprove,agree,V,0.33,NONE,0.968124027,1,0.031875973430424
run,hurry,V,5.98,HYPER/HYPONYMS,0.828604497,1,0.171395503038178
reap,gain,V,6.97,HYPER/HYPONYMS,0.570178872,1,0.429821128133424
rub,hold,V,1.49,NONE,1.007726991,1,-0.00772699057687
finish,start,V,0.5,ANTONYMS,0.995109971,1,0.004890028977399
pull,tow,V,7.3,HYPER/HYPONYMS,0.604506236,1,0.395493764263053
swap,give,V,3.17,NONE,0.961319074,1,0.038680926224479
annoy,aggravate,V,8.13,NONE,0.628035703,1,0.371964297186308
deteriorate,disappear,V,3.92,NONE,0.796750536,1,0.2032494641675
hike,trail,V,5.48,NONE,0.787897123,1,0.212102876695877
compute,add,V,6.14,HYPER/HYPONYMS,0.985957522,1,0.014042478050556
pull,strain,V,3.65,NONE,0.850756278,1,0.149243721800974
assault,hit,V,8.13,NONE,0.4477315,1,0.552268500027091
inhale,breathe,V,7.97,HYPER/HYPONYMS,0.182975732,1,0.817024267767387
sneak,lie,V,5.48,NONE,0.894923306,1,0.105076694257067
brush,paint,V,6.97,COHYPONYMS,0.76609209,1,0.233907909714389
want,get,V,2.16,NONE,0.624467686,1,0.37553231420144
create,imagine,V,4.81,HYPER/HYPONYMS,0.746619382,1,0.253380617622261
travel,move,V,6.47,SYNONYMS,0.549415196,1,0.450584803704793
desire,need,V,5.13,NONE,0.682547879,1,0.317452120693296
rationalize,think,V,7.47,HYPER/HYPONYMS,0.844347752,1,0.155652248445376
hide,deny,V,4.48,NONE,0.695566624,1,0.304433375755943
increase,raise,V,8.13,HYPER/HYPONYMS,0.130491151,1,0.86950884885631
talk,criticize,V,2.66,NONE,0.784249284,1,0.215750715657346
determine,discover,V,5.64,NONE,0.533304885,1,0.466695114894674
think,realize,V,5.15,NONE,0.685014698,1,0.314985302251129
boom,crash,V,6.31,COHYPONYMS,0.86558332,1,0.134416680110976
replace,fix,V,2.11,NONE,0.893533727,1,0.106466273228405
fall,dive,V,4.15,HYPER/HYPONYMS,0.680110176,1,0.319889823622329
hold,reserve,V,6.31,HYPER/HYPONYMS,0.731355317,1,0.268644682596097
implode,explode,V,3.15,ANTONYMS,1.052788921,1,-0.052788920708627
sprain,strain,V,5.98,NONE,0.796608594,1,0.203391406409977
respond,speak,V,7.3,NONE,0.716048165,1,0.283951834600128
regret,forget,V,0.83,NONE,0.855755781,1,0.144244219303425
travel,go,V,7.97,SYNONYMS,0.579442306,1,0.420557693699387
flee,fight,V,0.91,NONE,0.851727999,1,0.148272001185077
soak,bleach,V,2.99,NONE,0.723013299,1,0.276986701316364
accept,allow,V,6.94,HYPER/HYPONYMS,0.530507863,1,0.469492137296129
add,reduce,V,0.33,NONE,0.969704085,1,0.030295914607199
save,deposit,V,5.48,NONE,0.855123259,1,0.144876740857364
jump,dive,V,5.15,HYPER/HYPONYMS,0.674382284,1,0.32561771624784
hurt,prick,V,4.32,HYPER/HYPONYMS,0.976930107,1,0.023069893408934
hide,repress,V,6.64,NONE,0.828492798,1,0.171507202252401
bring,carry,V,4.98,HYPER/HYPONYMS,0.273528803,1,0.726471196754153
get,ask,V,2.49,COHYPONYMS,0.815910843,1,0.184089157026285
spin,turn,V,6.97,HYPER/HYPONYMS,0.373787392,1,0.626212607838972
overflow,fill,V,3.98,NONE,0.894329381,1,0.105670619409463
offend,bother,V,6.14,NONE,0.668810221,1,0.331189779449911
break,replace,V,0.5,HYPER/HYPONYMS,0.959275384,1,0.040724616097731
run,hide,V,1,NONE,0.972251751,1,0.027748249149324
start,begin,V,8.8,SYNONYMS,0.058663716,1,0.941336283637381
spoil,perish,V,4.81,NONE,0.714688719,1,0.285311280939113
weave,drive,V,0.91,COHYPONYMS,1.007142624,1,-0.007142623608708
prepare,cook,V,6.14,SYNONYMS,0.864031349,1,0.135968651267906
pretend,imitate,V,4.65,NONE,0.437568305,1,0.562431695032448
lose,forget,V,4.07,HYPER/HYPONYMS,0.721014013,1,0.278985986708547
hunt,kill,V,6.81,NONE,0.789672931,1,0.210327069319457
let,allow,V,8.8,SYNONYMS,0.226961715,1,0.773038284770975
look,appear,V,4.98,SYNONYMS,0.609072194,1,0.390927806227644
tug,jerk,V,7.14,NONE,0.924781173,1,0.075218827008084
dive,swim,V,4.32,HYPER/HYPONYMS,0.609959,1,0.390041000031464
dance,sway,V,3.82,NONE,0.890184185,1,0.109815814635276
whisper,yell,V,0.83,NONE,1.037309852,1,-0.037309851809166
salute,acknowledge,V,4.65,NONE,0.569893896,1,0.4301061039308
become,make,V,4.15,HYPER/HYPONYMS,0.596717468,1,0.403282531703521
scare,surprise,V,5.31,NONE,0.744289997,1,0.255710003043171
sway,move,V,6.81,HYPER/HYPONYMS,0.728756311,1,0.271243689047618
go,send,V,1.49,NONE,0.915328881,1,0.084671118886609
float,drift,V,7.3,SYNONYMS,0.690997111,1,0.309002889375807
move,shift,V,7.55,HYPER/HYPONYMS,0.209237842,1,0.790762158436433
reprimand,correct,V,6.31,HYPER/HYPONYMS,0.880303543,1,0.119696456803514
leave,evacuate,V,7.47,NONE,0.690502125,1,0.309497875021262
clench,hold,V,6.64,NONE,0.920465611,1,0.079534389012569
concentrate,wander,V,0.5,NONE,0.910988813,1,0.089011186785334
suppose,guess,V,7.14,SYNONYMS,0.107227025,1,0.89277297450639
split,leave,V,2.99,NONE,0.887298778,1,0.112701222036253
get,put,V,1.33,NONE,0.623444124,1,0.376555876244348
receive,send,V,2.32,NONE,0.737534973,1,0.262465027479341
begin,introduce,V,4.32,HYPER/HYPONYMS,0.668929334,1,0.331070666174171
call,yell,V,7.64,SYNONYMS,0.769392069,1,0.230607930897969
cook,mix,V,3.49,COHYPONYMS,0.896831053,1,0.103168946617635
ridicule,tease,V,8.47,COHYPONYMS,0.797922344,1,0.202077656087997
associate,connect,V,6.97,SYNONYMS,0.745359508,1,0.254640491806203
entertain,enjoy,V,2.32,NONE,0.716809008,1,0.283190992136658
reply,respond,V,9.79,SYNONYMS,0.262709453,1,0.737290546848774
attack,beat,V,7.8,NONE,0.679287025,1,0.320712975173792
evict,throw,V,3.15,NONE,0.776855243,1,0.223144757215242
crackle,pop,V,3.15,NONE,0.900355884,1,0.099644115757614
sew,rip,V,0.83,NONE,0.830920903,1,0.169079097398249
call,respond,V,5.15,NONE,0.78065252,1,0.219347479776519
lose,find,V,0,ANTONYMS,1.055169565,1,-0.05516956456883
reject,accept,V,0.83,ANTONYMS,1.021764735,1,-0.021764735398995
run,evacuate,V,4.15,NONE,0.973386728,1,0.026613272297305
hurry,rush,V,9.79,HYPER/HYPONYMS,0.057523106,1,0.94247689419272
defend,prosecute,V,0.33,ANTONYMS,1.028050474,1,-0.028050473670454
convince,lie,V,1.49,NONE,0.922500995,1,0.077499005354064
lower,degrade,V,7.8,NONE,0.791991781,1,0.208008219314975
enjoy,relax,V,5.81,NONE,0.832963631,1,0.167036369370745
disintegrate,dissolve,V,8.13,COHYPONYMS,0.48089714,1,0.519102860243274
introduce,show,V,6.14,NONE,0.669317947,1,0.330682053019742
want,yearn,V,7.64,HYPER/HYPONYMS,0.369334967,1,0.630665033341055
remark,talk,V,5.81,NONE,0.696875531,1,0.303124469096305
float,drown,V,0.66,NONE,1.010423592,1,-0.010423592089454
sit,lie,V,3.32,ANTONYMS,1.033938076,1,-0.033938076343492
die,drown,V,4.81,HYPER/HYPONYMS,0.69468922,1,0.305310780399914
combine,integrate,V,8.47,HYPER/HYPONYMS,0.434356319,1,0.565643681326414
appear,see,V,3.65,NONE,0.699155142,1,0.300844858264179
smear,wipe,V,6.31,COHYPONYMS,0.694769753,1,0.305230247275369
insult,offend,V,8.13,HYPER/HYPONYMS,0.172386045,1,0.827613955048204
aggravate,irritate,V,8.3,HYPER/HYPONYMS,0.628411426,1,0.371588574012776
flow,pour,V,5.31,HYPER/HYPONYMS,0.893176118,1,0.106823881599373
play,swing,V,3.15,HYPER/HYPONYMS,0.81708592,1,0.182914080075455
demand,need,V,2.82,SYNONYMS,0.300214852,1,0.699785147716272
drip,sink,V,1.99,COHYPONYMS,0.826918193,1,0.173081806521856
confess,lie,V,1.83,NONE,0.87363018,1,0.126369820003479
remember,retain,V,8.63,HYPER/HYPONYMS,0.894432881,1,0.105567119009331
sink,float,V,0.33,ANTONYMS,1.131890226,1,-0.131890225896132
remind,think,V,3.32,NONE,0.702611685,1,0.297388314596253
tell,instruct,V,6.97,HYPER/HYPONYMS,0.74518526,1,0.254814739547513
take,replace,V,1.16,NONE,0.924251075,1,0.075748925299223
destroy,demolish,V,9.13,HYPER/HYPONYMS,0.036265052,1,0.963734947897852
fade,bleach,V,4.48,NONE,0.827933452,1,0.172066547716768
run,escape,V,4.65,HYPER/HYPONYMS,0.714068301,1,0.285931698606992
abuse,neglect,V,6.64,NONE,0.630024614,1,0.369975386479858
take,choose,V,3.82,SYNONYMS,0.51309788,1,0.486902119943544
fly,launch,V,4.32,NONE,0.895048809,1,0.104951191490265
remember,recall,V,9.13,SYNONYMS,0.173099027,1,0.826900973089588
tell,talk,V,8.3,HYPER/HYPONYMS,0.285803392,1,0.714196608236473
boil,fry,V,3.32,NONE,0.678805717,1,0.321194282767793
vacate,leave,V,8.63,HYPER/HYPONYMS,0.285671886,1,0.714328113928108
keep,hold,V,6.14,SYNONYMS,0.431799042,1,0.568200957867136
testify,confess,V,4.81,NONE,0.689983948,1,0.310016051996895
delay,wait,V,5.48,HYPER/HYPONYMS,0.656190505,1,0.343809494706137
yawn,stretch,V,2.32,NONE,0.849001949,1,0.150998050964455
make,compose,V,7.3,HYPER/HYPONYMS,0.665399694,1,0.334600306006291
make,do,V,4.15,SYNONYMS,0.406596064,1,0.593403935784229
drink,vomit,V,0.15,NONE,0.803461879,1,0.196538120610968
grill,burn,V,2.99,NONE,0.908017955,1,0.09198204535221
grab,hold,V,7.97,NONE,0.739512664,1,0.26048733574323
smoke,cough,V,2.66,NONE,0.825242789,1,0.174757211404403
reappear,vanish,V,1.49,NONE,0.53876642,1,0.461233580434024
think,pause,V,4.48,NONE,0.954781917,1,0.045218083024759
help,participate,V,6.14,NONE,0.660069511,1,0.33993048945928
fight,kill,V,4.15,NONE,0.856611858,1,0.143388141833528
rise,lift,V,7.47,SYNONYMS,0.654806634,1,0.345193366177926
swap,change,V,7.97,HYPER/HYPONYMS,0.623311081,1,0.376688918695908
crawl,climb,V,2.32,NONE,0.830509608,1,0.169490391878362
see,hear,V,1.99,SYNONYMS,0.440376158,1,0.55962384224662
win,fight,V,2.49,NONE,0.748234531,1,0.251765468902711
leap,fall,V,1.66,NONE,0.804866719,1,0.195133281157818
strike,blow,V,7.3,COHYPONYMS,0.410891938,1,0.589108061756978
beat,hurt,V,5.64,NONE,0.819908751,1,0.180091249164994
go,flee,V,6.14,NONE,0.631132405,1,0.368867595370649
blend,mix,V,8.3,SYNONYMS,0.050807732,1,0.94919226797342
meet,attend,V,3.82,NONE,0.741174797,1,0.258825203337072
fall,rise,V,0.33,ANTONYMS,1.009141797,1,-0.009141797229852
help,assist,V,8,SYNONYMS,0.0985527,1,0.901447300497796
climb,fall,V,1.49,ANTONYMS,0.952155484,1,0.047844516362638
burn,melt,V,5.81,NONE,0.737040036,1,0.262959963929254
borrow,beg,V,2.66,NONE,0.897910103,1,0.102089897366117
give,beg,V,0.66,NONE,0.86305947,1,0.136940529664675
let,release,V,4.65,NONE,0.800176959,1,0.199823040587907
increase,add,V,7.97,HYPER/HYPONYMS,0.696546455,1,0.303453545270215
unload,carry,V,1.49,NONE,0.929740531,1,0.070259469422829
talk,debate,V,5.81,HYPER/HYPONYMS,0.246322512,1,0.75367748814077
describe,write,V,3.65,HYPER/HYPONYMS,0.817338305,1,0.182661695117902
hear,tell,V,0.83,NONE,0.612715409,1,0.387284591007714
doze,nap,V,8.8,HYPER/HYPONYMS,0.605906459,1,0.394093540966014
stab,shoot,V,1.83,NONE,0.654236626,1,0.345763374224833
grasp,understand,V,8.47,HYPER/HYPONYMS,0.416759163,1,0.583240836736479
destroy,repair,V,0.83,NONE,1.014291501,1,-0.014291501131278
accept,deny,V,1,ANTONYMS,1.040630505,1,-0.040630504876225
combine,join,V,7.47,NONE,0.387596258,1,0.612403741774355
join,gather,V,5.15,NONE,0.767606305,1,0.232393695476785
deny,reject,V,8.3,HYPER/HYPONYMS,0.113003507,1,0.886996492776699
bend,turn,V,3.32,HYPER/HYPONYMS,0.680143701,1,0.319856299467458
evict,move,V,2.66,HYPER/HYPONYMS,0.76167968,1,0.238320319817801
tell,testify,V,4.98,HYPER/HYPONYMS,0.577953758,1,0.422046242476539
define,mean,V,5.15,NONE,0.726157346,1,0.273842653972538
triumph,defeat,V,4.65,NONE,1.009555889,1,-0.00955588857931
stop,whistle,V,0.33,NONE,0.812659911,1,0.187340089239101
die,crash,V,2.82,HYPER/HYPONYMS,0.756628214,1,0.243371786385184
realize,discover,V,7.14,NONE,0.703642439,1,0.296357561470944
guess,try,V,2.32,NONE,0.824324741,1,0.175675258767642
rub,grate,V,5.15,HYPER/HYPONYMS,0.901419303,1,0.09858069699938
drag,pull,V,7.3,HYPER/HYPONYMS,0.664621084,1,0.335378916092045
spell,speak,V,2.16,NONE,0.801197321,1,0.198802678642082
remove,evict,V,6.14,NONE,0.359814332,1,0.640185668231238
win,award,V,3.98,NONE,0.762599373,1,0.237400626501356
hide,bury,V,5.31,HYPER/HYPONYMS,0.337959572,1,0.662040427552933
gain,get,V,8.63,HYPER/HYPONYMS,0.319510418,1,0.680489581894721
forgive,regret,V,1.16,NONE,0.577252317,1,0.422747683188562
hide,find,V,1.66,NONE,0.824446948,1,0.175553051829744
relax,stretch,V,3.65,NONE,0.884131199,1,0.115868801264672
see,squint,V,3.15,NONE,0.645116025,1,0.354883975075025
flee,escape,V,9.79,HYPER/HYPONYMS,0.050727605,1,0.9492723946668
jerk,prick,V,0.5,NONE,0.194004717,1,0.80599528323926
wear,erode,V,3.32,NONE,0.85108303,1,0.148916970093845
waste,throw,V,2.66,NONE,0.733875677,1,0.266124322888414
bury,forget,V,3.98,SYNONYMS,0.811144663,1,0.188855337366883
frustrate,annoy,V,8.3,HYPER/HYPONYMS,0.527367545,1,0.472632455003495
learn,teach,V,2.82,SYNONYMS,0.257139361,1,0.742860639309957
come,bring,V,1.83,NONE,0.762940402,1,0.237059598214527
wait,stay,V,6.47,NONE,0.777992903,1,0.222007096970541
burst,laugh,V,2.16,NONE,0.873221421,1,0.12677857870165
look,inspect,V,8.96,NONE,0.628354361,1,0.371645639307885
portray,play,V,5.81,HYPER/HYPONYMS,0.899414828,1,0.100585171527451
lose,defeat,V,2.32,NONE,0.806366168,1,0.193633831920235
steal,rob,V,9.46,HYPER/HYPONYMS,0.204873845,1,0.795126155269764
transplant,remove,V,3.49,NONE,0.887678862,1,0.112321138227444
speak,listen,V,0.66,NONE,0.628816714,1,0.371183285578212
think,compute,V,5.81,HYPER/HYPONYMS,0.878437241,1,0.121562758644147
punish,deny,V,2.99,NONE,0.792708722,1,0.207291277764072
solve,compute,V,5.15,HYPER/HYPONYMS,0.808476807,1,0.19152319282118
organize,prepare,V,7.3,SYNONYMS,0.865772267,1,0.134227733343778
overflow,spill,V,7.14,HYPER/HYPONYMS,0.312672954,1,0.687327045970305
disperse,spread,V,9.3,HYPER/HYPONYMS,0.394132302,1,0.605867697819016
ask,suggest,V,4.32,NONE,0.7765325,1,0.223467499922057
walk,talk,V,1.33,NONE,0.954044254,1,0.045955745891321
toast,burn,V,5.64,NONE,0.692525215,1,0.307474785129834
haunt,scare,V,6.19,NONE,0.589627548,1,0.410372451991304
drink,gulp,V,6.47,HYPER/HYPONYMS,0.621485172,1,0.378514828016617
protect,help,V,5.15,NONE,0.783963265,1,0.216036735056228
admit,give,V,2.32,ANTONYMS,0.683592012,1,0.316407988447283
stay,come,V,1,NONE,0.860320032,1,0.139679967922429
win,finish,V,4.48,NONE,0.818270675,1,0.181729325071593
condemn,hate,V,5.64,NONE,0.755741448,1,0.244258552429458
lean,sway,V,6.14,NONE,0.955445249,1,0.044554750829877
kill,annihilate,V,8.13,HYPER/HYPONYMS,0.654401083,1,0.345598916584354
want,hope,V,5.15,HYPER/HYPONYMS,0.391624258,1,0.608375742146371
slide,show,V,0.66,NONE,0.912706543,1,0.087293457237412
scream,squeal,V,7.97,NONE,0.593974816,1,0.406025184288418
